subaction_index,narration_id,narration,contact_frame_0_based,ref_idx,reference_mode,ref_gap,reference_anchor_gap,reference_frame_path
29,P01_109_29,turn on tap,2550,2508,closest_clean_pre_contact_humanless,42.0,42.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/reference_frame.png
30,P01_109_30,rinse hands,2708,2603,closest_clean_pre_contact_humanless,105.0,105.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/reference_frame.png
33,P01_109_33,pick up cloth,3088,3086,closest_clean_pre_contact_humanless,2.0,2.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/reference_frame.png
35,P01_109_35,put down cloth,3356,3336,closest_clean_pre_contact_humanless,20.0,20.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/reference_frame.png
44,P01_109_43,pick up pan,4380,4378,closest_clean_pre_contact_humanless,2.0,2.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/data/P01_109_frames/frame_0000004379.jpg
45,P01_109_45,put down pan,4380,4378,closest_clean_pre_contact_humanless,2.0,2.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/data/P01_109_frames/frame_0000004379.jpg
47,P01_109_47,close cupboard,4648,4636,closest_clean_pre_contact_humanless,12.0,12.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/reference_frame.png
48,P01_109_48,put down cutting board,4692,4670,closest_clean_pre_contact_active_hand_visible,22.0,22.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/reference_frame.png
50,P01_109_50,put down eggs,4821,4815,closest_clean_pre_contact_active_hand_visible,6.0,6.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/reference_frame.png
53,P01_109_53,pick up peeler,4947,4940,closest_clean_pre_contact_active_hand_visible,7.0,7.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/reference_frame.png
55,P01_109_55,move cutting board,5019,4986,closest_clean_pre_contact_active_hand_visible,33.0,33.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/reference_frame.png
74,P01_109_74,pick up potato slices,12190,12181,closest_clean_pre_contact_active_hand_visible,9.0,9.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_74_P01_109_74/episode_01_left/frame_012190_left/reference_frame.png
77,P01_109_78,pick up potato slice,12335,12324,closest_clean_pre_contact_active_hand_visible,11.0,11.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_77_P01_109_78/episode_01_left/frame_012335_left/reference_frame.png
