subaction_index,narration_id,frame_0_based,hand,status,fail_reason,object_count,active_hand_found,active_object_found,contact_points,raw_bbox_contact_points,candidate_hand_edge_points
36,P01_109_36,3392,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
37,P01_109_37,3549,left,discard,no_clean_pre_contact_reference,1,True,True,49,69,49
38,P01_109_38,3654,left,discard,no_clean_pre_contact_reference,1,True,True,49,93,49
39,P01_109_39,3718,left,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
40,P01_109_40,3837,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
42,P01_109_42,4273,left,discard,no_clean_pre_contact_reference,1,True,True,194,285,194
43,P01_109_44,4273,left,discard,no_clean_pre_contact_reference,1,True,True,194,285,194
44,P01_109_43,4380,right,discard,pairwise_homography_failed_f4385_to_f4384,1,True,True,127,151,127
45,P01_109_45,4380,right,discard,pairwise_homography_failed_f4385_to_f4384,1,True,True,127,151,127
46,P01_109_46,4511,left,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
47,P01_109_47,4648,left,keep,,1,True,True,65,155,65
48,P01_109_48,4692,left,keep,,1,True,True,33,45,33
50,P01_109_50,4821,right,keep,,2,True,True,149,297,149
51,P01_109_51,4856,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
52,P01_109_52,4907,right,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,202,0
53,P01_109_53,4947,right,keep,,1,True,True,42,42,42
54,P01_109_54,4978,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
55,P01_109_55,5019,left,keep,,1,True,True,133,222,133
56,P01_109_56,5062,left,discard,no_clean_pre_contact_reference,2,True,True,108,156,108
58,P01_109_58,7132,right,discard,no_clean_pre_contact_reference,2,True,True,178,208,178
61,P01_109_61,9689,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
64,P01_109_64,10144,left,discard,no_clean_pre_contact_reference,2,True,True,42,43,42
65,P01_109_65,10173,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
66,P01_109_66,10197,left,discard,no_clean_pre_contact_reference,2,True,True,186,311,186
67,P01_109_67,10261,right,discard,no_clean_pre_contact_reference,1,True,True,92,114,92
68,P01_109_68,10269,right,discard,no_clean_pre_contact_reference,2,True,True,70,207,70
69,P01_109_69,10374,left,discard,no_clean_pre_contact_reference,1,True,True,61,61,61
71,P01_109_71,11977,right,discard,no_clean_pre_contact_reference,2,True,True,43,50,43
73,P01_109_73,12104,right,discard,no_clean_pre_contact_reference,1,True,True,85,175,85
74,P01_109_74,12190,left,keep,,2,True,True,83,290,83
75,P01_109_75,12294,right,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,253,0
76,P01_109_76,12325,right,discard,no_clean_pre_contact_reference,1,True,True,19,19,19
77,P01_109_78,12335,left,keep,,1,True,True,48,137,48
79,P01_109_77,12411,left,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
80,P01_109_80,12424,right,discard,no_clean_pre_contact_reference,2,True,True,71,89,71
81,P01_109_81,12468,right,discard,no_clean_pre_contact_reference,1,True,True,108,134,108
82,P01_109_82,12493,right,discard,no_clean_pre_contact_reference,2,True,True,75,183,75
83,P01_109_83,12578,right,discard,no_clean_pre_contact_reference,2,True,True,116,200,116
84,P01_109_84,12634,right,discard,no_clean_pre_contact_reference,1,True,True,107,149,107
85,P01_109_85,12679,left,discard,no_clean_pre_contact_reference,2,True,True,125,328,125
86,P01_109_86,12724,left,discard,no_clean_pre_contact_reference,1,True,True,34,54,34
87,P01_109_87,12758,right,discard,no_clean_pre_contact_reference,1,True,True,28,47,28
88,P01_109_88,12879,right,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
89,P01_109_89,12999,left,discard,no_clean_pre_contact_reference,2,True,True,33,45,33
90,P01_109_90,13047,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
91,P01_109_91,13078,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
92,P01_109_92,13108,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
93,P01_109_93,13134,right,discard,no_clean_pre_contact_reference,2,True,True,96,101,96
95,P01_109_95,15464,right,discard,no_clean_pre_contact_reference,2,True,True,147,156,147
96,P01_109_96,15508,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
97,P01_109_97,15760,left,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,0,0
