experiment_id,subaction_index,narration_id,narration,start_frame_0_based,stop_frame_0_based,raw_candidate_count,deep_run_candidate_count
E0,76,P01_109_76,pick up potato slice,12324,12390,1,1
E0,77,P01_109_78,pick up potato slice,12335,12389,1,1
E0,78,P01_109_79,put down potato slice,12388,12410,1,1
E0,79,P01_109_77,put down potato slice,12389,12416,1,1
E0,80,P01_109_80,pick up potato slices,12415,12454,1,1
E0,81,P01_109_81,put down potato slices,12457,12479,1,1
E0,82,P01_109_82,pick up potato slice,12483,12561,1,1
E0,83,P01_109_83,put down potato slice,12561,12584,1,1
E0,84,P01_109_84,pick up potato slice,12633,12666,1,1
E0,85,P01_109_85,put down potato slice,12669,12691,1,1
E0,86,P01_109_86,pick up potato slice,12722,12752,1,1
E0,87,P01_109_87,put down potato slice,12757,12785,1,1
E0,88,P01_109_88,pick up knife,12875,12925,1,1
E0,89,P01_109_89,cut potato slice,12914,13035,1,1
E0,90,P01_109_90,put down knife,13024,13054,1,1
E0,91,P01_109_91,put down potato slice,13064,13089,1,1
E0,92,P01_109_92,pick up potato,13095,13120,1,1
E0,93,P01_109_93,pick up peeler,13125,13154,1,1
E0,94,P01_109_94,peel potato,13151,15460,1,1
E0,95,P01_109_95,put down potato,15462,15502,1,1
E0,96,P01_109_96,pick up peeler blade,15507,15574,1,1
E0,97,P01_109_97,fix peeler blade,15573,15771,1,1
E0,98,P01_109_98,pick up potato,15771,15798,1,1
E0,99,P01_109_99,peel potato,15882,16102,1,1
E1,0,P01_109_0,grab rucksack,78,125,1,1
E1,1,P01_109_1,open rucksack,152,225,1,1
E1,2,P01_109_2,pick up eggs,251,318,1,1
E1,3,P01_109_3,put down eggs,318,373,1,1
E1,4,P01_109_4,pick up onion and potato,423,474,1,1
E1,5,P01_109_5,put down onion and potato,479,522,1,1
E1,6,P01_109_8,pick up potato,499,621,1,1
E1,7,P01_109_6,pick up potatoes,542,578,1,1
E1,8,P01_109_7,put down potatoes,549,733,1,1
E1,9,P01_109_9,put down potato,624,751,1,1
E1,10,P01_109_10,pick up beers,737,844,1,1
E1,11,P01_109_11,open freezer,875,1021,1,1
E1,12,P01_109_12,open drawer,1044,1122,1,1
E1,13,P01_109_13,put beer into drawer,1138,1352,1,1
E1,14,P01_109_14,put beer into drawer,1229,1282,1,1
E1,15,P01_109_15,put beer into drawer,1297,1334,1,1
E1,16,P01_109_16,close drawer,1344,1400,1,1
E1,17,P01_109_17,close freezer,1418,1463,1,1
E1,18,P01_109_18,pick up rucksack,1484,1526,1,1
E1,19,P01_109_19,put down rucksack,1656,1697,1,1
E1,20,P01_109_20,close door,1811,1945,1,1
E1,21,P01_109_21,pick up cup,2083,2119,1,1
E1,22,P01_109_22,put down cup,2131,2192,1,1
E1,23,P01_109_23,pick up spoon,2205,2235,1,1
E1,24,P01_109_24,open drawer,2268,2331,1,1
E1,25,P01_109_25,put spoon into drawer,2335,2377,1,1
E1,26,P01_109_26,close drawer,2376,2409,0,0
E1,27,P01_109_27,pour hand wash,2465,2504,1,1
E1,28,P01_109_28,wash hands,2477,2539,1,1
E1,29,P01_109_29,turn on tap,2544,2574,1,1
E1,30,P01_109_30,rinse hands,2578,2962,1,1
E1,31,P01_109_31,turn off tap,2966,2988,1,1
E1,32,P01_109_32,shake hands,3000,3071,1,1
E1,33,P01_109_33,pick up cloth,3083,3139,1,1
E1,34,P01_109_34,dry hands,3093,3348,1,1
E1,35,P01_109_35,put down cloth,3348,3371,1,1
E1,36,P01_109_36,pick up potatoes,3373,3495,1,1
E1,37,P01_109_37,put down potatoes,3516,3551,1,1
E1,38,P01_109_38,move potatoes,3639,3705,1,1
E1,39,P01_109_39,open cupboard,3718,3798,1,1
E1,40,P01_109_40,move pans,3825,4047,1,1
E1,41,P01_109_41,pick up pan,4037,4097,1,1
E1,42,P01_109_42,put down pan,4208,4279,1,1
E1,43,P01_109_44,put down pan,4268,4352,1,1
E1,44,P01_109_43,pick up pan,4329,4385,1,1
E1,45,P01_109_45,put down pan,4378,4431,1,1
E1,46,P01_109_46,pick up cutting board,4509,4603,1,1
E1,47,P01_109_47,close cupboard,4620,4663,1,1
E1,48,P01_109_48,put down cutting board,4676,4723,1,1
E1,49,P01_109_49,pick up eggs,4763,4796,1,1
E1,50,P01_109_50,put down eggs,4793,4826,1,1
E1,51,P01_109_51,move kettle,4831,4866,1,1
E1,52,P01_109_52,open drawer,4903,4941,1,1
E1,53,P01_109_53,pick up peeler,4937,4980,1,1
E1,54,P01_109_54,close drawer,4976,5003,1,1
E1,55,P01_109_55,move cutting board,5013,5048,1,1
E1,56,P01_109_56,pick up potato,5052,5121,1,1
E1,57,P01_109_57,move potato,5081,5093,1,1
E1,58,P01_109_58,peel potato,5181,9528,1,1
E1,59,P01_109_59,put down potato,9493,9581,1,1
E1,60,P01_109_60,put down peeler,9585,9606,1,1
E1,61,P01_109_61,pick up knife,9667,9761,1,1
E1,62,P01_109_62,grab potato,9804,9834,1,1
E1,63,P01_109_63,cut potato,9830,10124,1,1
E1,64,P01_109_64,pick up potato bit,10118,10182,1,1
E1,65,P01_109_65,put down potato bit,10147,10190,1,1
E1,66,P01_109_66,move cutting board,10195,10231,1,1
E1,67,P01_109_67,put down knife,10236,10266,1,1
E1,68,P01_109_68,pick up knife,10263,10299,1,1
E1,69,P01_109_69,slice potato,10296,11899,1,1
E1,70,P01_109_70,put down knife,11913,11934,1,1
E1,71,P01_109_71,put down potato slices,11962,11993,1,1
E1,72,P01_109_72,pick up potato slices,12006,12070,1,1
E1,73,P01_109_73,put down potato slices,12069,12185,1,1
E1,74,P01_109_74,pick up potato slices,12180,12262,1,1
E1,75,P01_109_75,put down potato slices,12266,12331,1,1
E1,76,P01_109_76,pick up potato slice,12324,12390,1,1
E1,77,P01_109_78,pick up potato slice,12335,12389,1,1
E1,78,P01_109_79,put down potato slice,12388,12410,1,1
E1,79,P01_109_77,put down potato slice,12389,12416,1,1
E1,80,P01_109_80,pick up potato slices,12415,12454,1,1
E1,81,P01_109_81,put down potato slices,12457,12479,1,1
E1,82,P01_109_82,pick up potato slice,12483,12561,1,1
E1,83,P01_109_83,put down potato slice,12561,12584,1,1
E1,84,P01_109_84,pick up potato slice,12633,12666,1,1
E1,85,P01_109_85,put down potato slice,12669,12691,1,1
E1,86,P01_109_86,pick up potato slice,12722,12752,1,1
E1,87,P01_109_87,put down potato slice,12757,12785,1,1
E1,88,P01_109_88,pick up knife,12875,12925,1,1
E1,89,P01_109_89,cut potato slice,12914,13035,1,1
E1,90,P01_109_90,put down knife,13024,13054,1,1
E1,91,P01_109_91,put down potato slice,13064,13089,1,1
E1,92,P01_109_92,pick up potato,13095,13120,1,1
E1,93,P01_109_93,pick up peeler,13125,13154,1,1
E1,94,P01_109_94,peel potato,13151,15460,1,1
E1,95,P01_109_95,put down potato,15462,15502,1,1
E1,96,P01_109_96,pick up peeler blade,15507,15574,1,1
E1,97,P01_109_97,fix peeler blade,15573,15771,1,1
E1,98,P01_109_98,pick up potato,15771,15798,1,1
E1,99,P01_109_99,peel potato,15882,16102,1,1
E2,0,P01_109_0,grab rucksack,78,125,48,5
E2,1,P01_109_1,open rucksack,152,225,97,5
E2,2,P01_109_2,pick up eggs,251,318,133,5
E2,3,P01_109_3,put down eggs,318,373,36,5
E2,4,P01_109_4,pick up onion and potato,423,474,104,5
E2,5,P01_109_5,put down onion and potato,479,522,31,5
E2,6,P01_109_8,pick up potato,499,621,140,5
E2,7,P01_109_6,pick up potatoes,542,578,74,5
E2,8,P01_109_7,put down potatoes,549,733,190,5
E2,9,P01_109_9,put down potato,624,751,136,5
E2,10,P01_109_10,pick up beers,737,844,174,5
E2,11,P01_109_11,open freezer,875,1021,141,5
E2,12,P01_109_12,open drawer,1044,1122,132,5
E2,13,P01_109_13,put beer into drawer,1138,1352,278,5
E2,14,P01_109_14,put beer into drawer,1229,1282,71,5
E2,15,P01_109_15,put beer into drawer,1297,1334,67,5
E2,16,P01_109_16,close drawer,1344,1400,60,5
E2,17,P01_109_17,close freezer,1418,1463,35,5
E2,18,P01_109_18,pick up rucksack,1484,1526,36,5
E2,19,P01_109_19,put down rucksack,1656,1697,27,5
E2,20,P01_109_20,close door,1811,1945,33,5
E2,21,P01_109_21,pick up cup,2083,2119,6,5
E2,22,P01_109_22,put down cup,2131,2192,25,5
E2,23,P01_109_23,pick up spoon,2205,2235,11,5
E2,24,P01_109_24,open drawer,2268,2331,47,5
E2,25,P01_109_25,put spoon into drawer,2335,2377,29,5
E2,26,P01_109_26,close drawer,2376,2409,0,0
E2,27,P01_109_27,pour hand wash,2465,2504,10,5
E2,28,P01_109_28,wash hands,2477,2539,8,5
E2,29,P01_109_29,turn on tap,2544,2574,38,5
E2,30,P01_109_30,rinse hands,2578,2962,164,5
E2,31,P01_109_31,turn off tap,2966,2988,10,5
E2,32,P01_109_32,shake hands,3000,3071,24,5
E2,33,P01_109_33,pick up cloth,3083,3139,26,5
E2,34,P01_109_34,dry hands,3093,3348,112,5
E2,35,P01_109_35,put down cloth,3348,3371,35,5
E2,36,P01_109_36,pick up potatoes,3373,3495,214,5
E2,37,P01_109_37,put down potatoes,3516,3551,56,5
E2,38,P01_109_38,move potatoes,3639,3705,42,5
E2,39,P01_109_39,open cupboard,3718,3798,55,5
E2,40,P01_109_40,move pans,3825,4047,301,5
E2,41,P01_109_41,pick up pan,4037,4097,122,5
E2,42,P01_109_42,put down pan,4208,4279,107,5
E2,43,P01_109_44,put down pan,4268,4352,142,5
E2,44,P01_109_43,pick up pan,4329,4385,36,5
E2,45,P01_109_45,put down pan,4378,4431,56,5
E2,46,P01_109_46,pick up cutting board,4509,4603,70,5
E2,47,P01_109_47,close cupboard,4620,4663,26,5
E2,48,P01_109_48,put down cutting board,4676,4723,53,5
E2,49,P01_109_49,pick up eggs,4763,4796,68,5
E2,50,P01_109_50,put down eggs,4793,4826,54,5
E2,51,P01_109_51,move kettle,4831,4866,35,5
E2,52,P01_109_52,open drawer,4903,4941,13,5
E2,53,P01_109_53,pick up peeler,4937,4980,47,5
E2,54,P01_109_54,close drawer,4976,5003,31,5
E2,55,P01_109_55,move cutting board,5013,5048,54,5
E2,56,P01_109_56,pick up potato,5052,5121,112,5
E2,57,P01_109_57,move potato,5081,5093,24,5
E2,58,P01_109_58,peel potato,5181,9528,8679,5
E2,59,P01_109_59,put down potato,9493,9581,178,5
E2,60,P01_109_60,put down peeler,9585,9606,31,5
E2,61,P01_109_61,pick up knife,9667,9761,3,3
E2,62,P01_109_62,grab potato,9804,9834,62,5
E2,63,P01_109_63,cut potato,9830,10124,590,5
E2,64,P01_109_64,pick up potato bit,10118,10182,95,5
E2,65,P01_109_65,put down potato bit,10147,10190,59,5
E2,66,P01_109_66,move cutting board,10195,10231,41,5
E2,67,P01_109_67,put down knife,10236,10266,21,5
E2,68,P01_109_68,pick up knife,10263,10299,55,5
E2,69,P01_109_69,slice potato,10296,11899,3179,5
E2,70,P01_109_70,put down knife,11913,11934,37,5
E2,71,P01_109_71,put down potato slices,11962,11993,23,5
E2,72,P01_109_72,pick up potato slices,12006,12070,130,5
E2,73,P01_109_73,put down potato slices,12069,12185,194,5
E2,74,P01_109_74,pick up potato slices,12180,12262,131,5
E2,75,P01_109_75,put down potato slices,12266,12331,71,5
E2,76,P01_109_76,pick up potato slice,12324,12390,65,5
E2,77,P01_109_78,pick up potato slice,12335,12389,60,5
E2,78,P01_109_79,put down potato slice,12388,12410,16,5
E2,79,P01_109_77,put down potato slice,12389,12416,21,5
E2,80,P01_109_80,pick up potato slices,12415,12454,54,5
E2,81,P01_109_81,put down potato slices,12457,12479,17,5
E2,82,P01_109_82,pick up potato slice,12483,12561,143,5
E2,83,P01_109_83,put down potato slice,12561,12584,45,5
E2,84,P01_109_84,pick up potato slice,12633,12666,38,5
E2,85,P01_109_85,put down potato slice,12669,12691,21,5
E2,86,P01_109_86,pick up potato slice,12722,12752,54,5
E2,87,P01_109_87,put down potato slice,12757,12785,30,5
E2,88,P01_109_88,pick up knife,12875,12925,98,5
E2,89,P01_109_89,cut potato slice,12914,13035,241,5
E2,90,P01_109_90,put down knife,13024,13054,58,5
E2,91,P01_109_91,put down potato slice,13064,13089,34,5
E2,92,P01_109_92,pick up potato,13095,13120,32,5
E2,93,P01_109_93,pick up peeler,13125,13154,56,5
E2,94,P01_109_94,peel potato,13151,15460,4620,5
E2,95,P01_109_95,put down potato,15462,15502,80,5
E2,96,P01_109_96,pick up peeler blade,15507,15574,132,5
E2,97,P01_109_97,fix peeler blade,15573,15771,389,5
E2,98,P01_109_98,pick up potato,15771,15798,56,5
E2,99,P01_109_99,peel potato,15882,16102,442,5
E3,0,P01_109_0,grab rucksack,78,125,48,5
E3,1,P01_109_1,open rucksack,152,225,97,5
E3,2,P01_109_2,pick up eggs,251,318,133,5
E3,3,P01_109_3,put down eggs,318,373,36,5
E3,4,P01_109_4,pick up onion and potato,423,474,104,5
E3,5,P01_109_5,put down onion and potato,479,522,31,5
E3,6,P01_109_8,pick up potato,499,621,140,5
E3,7,P01_109_6,pick up potatoes,542,578,74,5
E3,8,P01_109_7,put down potatoes,549,733,190,5
E3,9,P01_109_9,put down potato,624,751,136,5
E3,10,P01_109_10,pick up beers,737,844,174,5
E3,11,P01_109_11,open freezer,875,1021,141,5
E3,12,P01_109_12,open drawer,1044,1122,132,5
E3,13,P01_109_13,put beer into drawer,1138,1352,278,5
E3,14,P01_109_14,put beer into drawer,1229,1282,71,5
E3,15,P01_109_15,put beer into drawer,1297,1334,67,5
E3,16,P01_109_16,close drawer,1344,1400,60,5
E3,17,P01_109_17,close freezer,1418,1463,35,5
E3,18,P01_109_18,pick up rucksack,1484,1526,36,5
E3,19,P01_109_19,put down rucksack,1656,1697,27,5
E3,20,P01_109_20,close door,1811,1945,33,5
E3,21,P01_109_21,pick up cup,2083,2119,6,5
E3,22,P01_109_22,put down cup,2131,2192,25,5
E3,23,P01_109_23,pick up spoon,2205,2235,11,5
E3,24,P01_109_24,open drawer,2268,2331,47,5
E3,25,P01_109_25,put spoon into drawer,2335,2377,29,5
E3,26,P01_109_26,close drawer,2376,2409,0,0
E3,27,P01_109_27,pour hand wash,2465,2504,10,5
E3,28,P01_109_28,wash hands,2477,2539,8,5
E3,29,P01_109_29,turn on tap,2544,2574,38,5
E3,30,P01_109_30,rinse hands,2578,2962,164,5
E3,31,P01_109_31,turn off tap,2966,2988,10,5
E3,32,P01_109_32,shake hands,3000,3071,24,5
E3,33,P01_109_33,pick up cloth,3083,3139,26,5
E3,34,P01_109_34,dry hands,3093,3348,112,5
E3,35,P01_109_35,put down cloth,3348,3371,35,5
E3,36,P01_109_36,pick up potatoes,3373,3495,214,5
E3,37,P01_109_37,put down potatoes,3516,3551,56,5
E3,38,P01_109_38,move potatoes,3639,3705,42,5
E3,39,P01_109_39,open cupboard,3718,3798,55,5
E3,40,P01_109_40,move pans,3825,4047,301,5
E3,41,P01_109_41,pick up pan,4037,4097,122,5
E3,42,P01_109_42,put down pan,4208,4279,107,5
E3,43,P01_109_44,put down pan,4268,4352,142,5
E3,44,P01_109_43,pick up pan,4329,4385,36,5
E3,45,P01_109_45,put down pan,4378,4431,56,5
E3,46,P01_109_46,pick up cutting board,4509,4603,70,5
E3,47,P01_109_47,close cupboard,4620,4663,26,5
E3,48,P01_109_48,put down cutting board,4676,4723,53,5
E3,49,P01_109_49,pick up eggs,4763,4796,68,5
E3,50,P01_109_50,put down eggs,4793,4826,54,5
E3,51,P01_109_51,move kettle,4831,4866,35,5
E3,52,P01_109_52,open drawer,4903,4941,13,5
E3,53,P01_109_53,pick up peeler,4937,4980,47,5
E3,54,P01_109_54,close drawer,4976,5003,31,5
E3,55,P01_109_55,move cutting board,5013,5048,54,5
E3,56,P01_109_56,pick up potato,5052,5121,112,5
E3,57,P01_109_57,move potato,5081,5093,24,5
E3,58,P01_109_58,peel potato,5181,9528,8679,5
E3,59,P01_109_59,put down potato,9493,9581,178,5
E3,60,P01_109_60,put down peeler,9585,9606,31,5
E3,61,P01_109_61,pick up knife,9667,9761,3,3
E3,62,P01_109_62,grab potato,9804,9834,62,5
E3,63,P01_109_63,cut potato,9830,10124,590,5
E3,64,P01_109_64,pick up potato bit,10118,10182,95,5
E3,65,P01_109_65,put down potato bit,10147,10190,59,5
E3,66,P01_109_66,move cutting board,10195,10231,41,5
E3,67,P01_109_67,put down knife,10236,10266,21,5
E3,68,P01_109_68,pick up knife,10263,10299,55,5
E3,69,P01_109_69,slice potato,10296,11899,3179,5
E3,70,P01_109_70,put down knife,11913,11934,37,5
E3,71,P01_109_71,put down potato slices,11962,11993,23,5
E3,72,P01_109_72,pick up potato slices,12006,12070,130,5
E3,73,P01_109_73,put down potato slices,12069,12185,194,5
E3,74,P01_109_74,pick up potato slices,12180,12262,131,5
E3,75,P01_109_75,put down potato slices,12266,12331,71,5
E3,76,P01_109_76,pick up potato slice,12324,12390,65,5
E3,77,P01_109_78,pick up potato slice,12335,12389,60,5
E3,78,P01_109_79,put down potato slice,12388,12410,16,5
E3,79,P01_109_77,put down potato slice,12389,12416,21,5
E3,80,P01_109_80,pick up potato slices,12415,12454,54,5
E3,81,P01_109_81,put down potato slices,12457,12479,17,5
E3,82,P01_109_82,pick up potato slice,12483,12561,143,5
E3,83,P01_109_83,put down potato slice,12561,12584,45,5
E3,84,P01_109_84,pick up potato slice,12633,12666,38,5
E3,85,P01_109_85,put down potato slice,12669,12691,21,5
E3,86,P01_109_86,pick up potato slice,12722,12752,54,5
E3,87,P01_109_87,put down potato slice,12757,12785,30,5
E3,88,P01_109_88,pick up knife,12875,12925,98,5
E3,89,P01_109_89,cut potato slice,12914,13035,241,5
E3,90,P01_109_90,put down knife,13024,13054,58,5
E3,91,P01_109_91,put down potato slice,13064,13089,34,5
E3,92,P01_109_92,pick up potato,13095,13120,32,5
E3,93,P01_109_93,pick up peeler,13125,13154,56,5
E3,94,P01_109_94,peel potato,13151,15460,4620,5
E3,95,P01_109_95,put down potato,15462,15502,80,5
E3,96,P01_109_96,pick up peeler blade,15507,15574,132,5
E3,97,P01_109_97,fix peeler blade,15573,15771,389,5
E3,98,P01_109_98,pick up potato,15771,15798,56,5
E3,99,P01_109_99,peel potato,15882,16102,442,5
