subaction_index,narration_id,narration,start_frame_1_based,stop_frame_1_based,decision,new_contact_run_count_in_subaction,first_contact_hand,first_contact_frame_0_based,first_contact_frame_1_based,first_contact_image,first_contact_run_end_1_based,first_contact_run_length,raw_contact_frame_count_LplusR,smoothed_contact_frame_count_LplusR
36,P01_109_36,pick up potatoes,3374,3496,new_contact_episode,3,left,3392,3393,frame_0000003393.jpg,3419,27,220,214
37,P01_109_37,put down potatoes,3517,3552,new_contact_episode,1,left,3549,3550,frame_0000003550.jpg,3551,2,60,56
38,P01_109_38,move potatoes,3640,3706,new_contact_episode,1,left,3654,3655,frame_0000003655.jpg,3696,42,51,42
39,P01_109_39,open cupboard,3719,3799,new_contact_episode,5,left,3718,3719,frame_0000003719.jpg,3729,11,63,55
40,P01_109_40,move pans,3826,4048,new_contact_episode,9,right,3837,3838,frame_0000003838.jpg,3839,2,321,301
41,P01_109_41,pick up pan,4038,4098,continuation_contact_run,0,,,,,,,122,122
42,P01_109_42,put down pan,4209,4280,new_contact_episode,1,left,4273,4274,frame_0000004274.jpg,4330,57,109,107
43,P01_109_44,put down pan,4269,4353,new_contact_episode,1,left,4273,4274,frame_0000004274.jpg,4330,57,145,142
44,P01_109_43,pick up pan,4330,4386,new_contact_episode,2,right,4380,4381,frame_0000004381.jpg,4430,50,42,36
45,P01_109_45,put down pan,4379,4432,new_contact_episode,3,right,4380,4381,frame_0000004381.jpg,4430,50,61,56
46,P01_109_46,pick up cutting board,4510,4604,new_contact_episode,6,left,4511,4512,frame_0000004512.jpg,4516,5,83,70
47,P01_109_47,close cupboard,4621,4664,new_contact_episode,3,left,4648,4649,frame_0000004649.jpg,4659,11,32,26
48,P01_109_48,put down cutting board,4677,4724,new_contact_episode,1,left,4692,4693,frame_0000004693.jpg,4706,14,58,53
49,P01_109_49,pick up eggs,4764,4797,continuation_contact_run,0,,,,,,,68,68
50,P01_109_50,put down eggs,4794,4827,new_contact_episode,1,right,4821,4822,frame_0000004822.jpg,4865,44,57,54
51,P01_109_51,move kettle,4832,4867,new_contact_episode,1,left,4856,4857,frame_0000004857.jpg,4857,1,38,35
52,P01_109_52,open drawer,4904,4942,new_contact_episode,3,right,4907,4908,frame_0000004908.jpg,4908,1,25,13
53,P01_109_53,pick up peeler,4938,4981,new_contact_episode,6,right,4947,4948,frame_0000004948.jpg,5116,169,59,47
54,P01_109_54,close drawer,4977,5004,new_contact_episode,2,left,4978,4979,frame_0000004979.jpg,4979,1,35,31
55,P01_109_55,move cutting board,5014,5049,new_contact_episode,3,left,5019,5020,frame_0000005020.jpg,5027,8,59,54
56,P01_109_56,pick up potato,5053,5122,new_contact_episode,4,left,5062,5063,frame_0000005063.jpg,5068,6,122,112
57,P01_109_57,move potato,5082,5094,continuation_contact_run,0,,,,,,,25,24
58,P01_109_58,peel potato,5182,9529,new_contact_episode,5,right,7132,7133,frame_0000007133.jpg,7147,15,8689,8679
59,P01_109_59,put down potato,9494,9582,continuation_contact_run,0,,,,,,,178,178
60,P01_109_60,put down peeler,9586,9607,continuation_contact_run,0,,,,,,,33,31
61,P01_109_61,pick up knife,9668,9762,new_contact_episode,1,right,9689,9690,frame_0000009690.jpg,9692,3,6,3
62,P01_109_62,grab potato,9805,9835,continuation_contact_run,0,,,,,,,62,62
63,P01_109_63,cut potato,9831,10125,continuation_contact_run,0,,,,,,,590,590
64,P01_109_64,pick up potato bit,10119,10183,new_contact_episode,3,left,10144,10145,frame_0000010145.jpg,10154,10,103,95
65,P01_109_65,put down potato bit,10148,10191,new_contact_episode,3,left,10173,10174,frame_0000010174.jpg,10176,3,67,59
66,P01_109_66,move cutting board,10196,10232,new_contact_episode,2,left,10197,10198,frame_0000010198.jpg,10200,3,46,41
67,P01_109_67,put down knife,10237,10267,new_contact_episode,1,right,10261,10262,frame_0000010262.jpg,10263,2,24,21
68,P01_109_68,pick up knife,10264,10300,new_contact_episode,2,right,10269,10270,frame_0000010270.jpg,10768,499,59,55
69,P01_109_69,slice potato,10297,11900,new_contact_episode,7,left,10374,10375,frame_0000010375.jpg,10380,6,3193,3179
70,P01_109_70,put down knife,11914,11935,continuation_contact_run,0,,,,,,,40,37
71,P01_109_71,put down potato slices,11963,11994,new_contact_episode,3,right,11977,11978,frame_0000011978.jpg,11978,1,33,23
72,P01_109_72,pick up potato slices,12007,12071,continuation_contact_run,0,,,,,,,130,130
73,P01_109_73,put down potato slices,12070,12186,new_contact_episode,4,right,12104,12105,frame_0000012105.jpg,12125,21,207,194
74,P01_109_74,pick up potato slices,12181,12263,new_contact_episode,5,left,12190,12191,frame_0000012191.jpg,12193,3,140,131
75,P01_109_75,put down potato slices,12267,12332,new_contact_episode,2,right,12294,12295,frame_0000012295.jpg,12317,23,79,71
76,P01_109_76,pick up potato slice,12325,12391,new_contact_episode,6,right,12325,12326,frame_0000012326.jpg,12329,4,72,65
77,P01_109_78,pick up potato slice,12336,12390,new_contact_episode,5,left,12335,12336,frame_0000012336.jpg,12338,3,65,60
78,P01_109_79,put down potato slice,12389,12411,continuation_contact_run,0,,,,,,,19,16
79,P01_109_77,put down potato slice,12390,12417,new_contact_episode,1,left,12411,12412,frame_0000012412.jpg,12448,37,24,21
80,P01_109_80,pick up potato slices,12416,12455,new_contact_episode,2,right,12424,12425,frame_0000012425.jpg,12427,3,58,54
81,P01_109_81,put down potato slices,12458,12480,new_contact_episode,1,right,12468,12469,frame_0000012469.jpg,12477,9,21,17
82,P01_109_82,pick up potato slice,12484,12562,new_contact_episode,2,right,12493,12494,frame_0000012494.jpg,12497,4,146,143
83,P01_109_83,put down potato slice,12562,12585,new_contact_episode,1,right,12578,12579,frame_0000012579.jpg,12585,7,47,45
84,P01_109_84,pick up potato slice,12634,12667,new_contact_episode,5,right,12634,12635,frame_0000012635.jpg,12637,3,44,38
85,P01_109_85,put down potato slice,12670,12692,new_contact_episode,2,left,12679,12680,frame_0000012680.jpg,12688,9,27,21
86,P01_109_86,pick up potato slice,12723,12753,new_contact_episode,3,left,12724,12725,frame_0000012725.jpg,12725,1,59,54
87,P01_109_87,put down potato slice,12758,12786,new_contact_episode,2,right,12758,12759,frame_0000012759.jpg,12766,8,37,30
88,P01_109_88,pick up knife,12876,12926,new_contact_episode,1,right,12879,12880,frame_0000012880.jpg,13043,164,99,98
89,P01_109_89,cut potato slice,12915,13036,new_contact_episode,1,left,12999,13000,frame_0000013000.jpg,13073,74,243,241
90,P01_109_90,put down knife,13025,13055,new_contact_episode,1,right,13047,13048,frame_0000013048.jpg,13086,39,60,58
91,P01_109_91,put down potato slice,13065,13090,new_contact_episode,2,left,13078,13079,frame_0000013079.jpg,13079,1,39,34
92,P01_109_92,pick up potato,13096,13121,new_contact_episode,3,right,13108,13109,frame_0000013109.jpg,13110,2,38,32
93,P01_109_93,pick up peeler,13126,13155,new_contact_episode,1,right,13134,13135,frame_0000013135.jpg,15461,2327,58,56
94,P01_109_94,peel potato,13152,15461,continuation_contact_run,0,,,,,,,4620,4620
95,P01_109_95,put down potato,15463,15503,new_contact_episode,1,right,15464,15465,frame_0000015465.jpg,16953,1489,81,80
96,P01_109_96,pick up peeler blade,15508,15575,new_contact_episode,2,left,15508,15509,frame_0000015509.jpg,15554,46,135,132
97,P01_109_97,fix peeler blade,15574,15772,new_contact_episode,1,left,15760,15761,frame_0000015761.jpg,16143,383,391,389
98,P01_109_98,pick up potato,15772,15799,continuation_contact_run,0,,,,,,,56,56
99,P01_109_99,peel potato,15883,16103,continuation_contact_run,0,,,,,,,442,442
