experiment_id,subaction_index,narration_id,narration,successful_samples,frames_0_based,frames_1_based,hands,refs_0_based
E3,0,P01_109_0,grab rucksack,1,78,79,left,67
E3,20,P01_109_20,close door,2,"1863, 1908","1864, 1909","right, right","1798, 1895"
E3,21,P01_109_21,pick up cup,1,2088,2089,left,2076
E3,22,P01_109_22,put down cup,3,"2142, 2148, 2154","2143, 2149, 2155","right, right, right","2140, 2140, 2140"
E3,24,P01_109_24,open drawer,1,2268,2269,right,2257
E3,27,P01_109_27,pour hand wash,4,"2468, 2470, 2477, 2484","2469, 2471, 2478, 2485","right, right, right, right","2434, 2434, 2434, 2434"
E3,28,P01_109_28,wash hands,2,"2477, 2479","2478, 2480","right, right","2434, 2434"
E3,29,P01_109_29,turn on tap,3,"2544, 2561, 2573","2545, 2562, 2574","left, left, right","2434, 2434, 2434"
E3,30,P01_109_30,rinse hands,4,"2708, 2762, 2838, 2878","2709, 2763, 2839, 2879","left, left, right, right","2434, 2434, 2434, 2434"
E3,31,P01_109_31,turn off tap,5,"2968, 2970, 2979, 2982, 2984","2969, 2971, 2980, 2983, 2985","left, left, left, left, left","2434, 2434, 2434, 2434, 2434"
E3,32,P01_109_32,shake hands,1,3009,3010,left,2434
E3,34,P01_109_34,dry hands,2,"3190, 3348","3191, 3349","left, right","3165, 3330"
E3,35,P01_109_35,put down cloth,3,"3348, 3356, 3360","3349, 3357, 3361","right, left, right","3330, 3330, 3330"
E3,47,P01_109_47,close cupboard,1,4651,4652,left,4636
E3,48,P01_109_48,put down cutting board,5,"4676, 4689, 4697, 4703, 4714","4677, 4690, 4698, 4704, 4715","right, right, left, right, right","4636, 4636, 4636, 4636, 4636"
E3,49,P01_109_49,pick up eggs,4,"4763, 4780, 4788, 4796","4764, 4781, 4789, 4797","left, left, left, right","4636, 4636, 4636, 4636"
E3,50,P01_109_50,put down eggs,3,"4793, 4799, 4826","4794, 4800, 4827","left, right, right","4636, 4636, 4636"
E3,51,P01_109_51,move kettle,4,"4831, 4848, 4856, 4864","4832, 4849, 4857, 4865","right, right, right, right","4636, 4636, 4636, 4636"
E3,53,P01_109_53,pick up peeler,2,"4947, 4980","4948, 4981","right, right","4937, 4937"
E3,54,P01_109_54,close drawer,2,"4981, 4995","4982, 4996","right, right","4937, 4937"
E3,55,P01_109_55,move cutting board,1,5022,5023,right,4937
E3,56,P01_109_56,pick up potato,2,"5052, 5121","5053, 5122","left, right","4937, 4937"
E3,58,P01_109_58,peel potato,1,7355,7356,right,4937
E3,62,P01_109_62,grab potato,4,"9811, 9819, 9827, 9834","9812, 9820, 9828, 9835","right, left, left, right","9764, 9764, 9764, 9764"
E3,63,P01_109_63,cut potato,5,"9830, 9903, 9977, 10051, 10124","9831, 9904, 9978, 10052, 10125","left, right, left, left, right","9764, 9764, 9764, 9764, 9764"
E3,64,P01_109_64,pick up potato bit,4,"10118, 10130, 10146, 10162","10119, 10131, 10147, 10163","left, left, right, right","9764, 9764, 9764, 9764"
E3,65,P01_109_65,put down potato bit,4,"10147, 10154, 10169, 10190","10148, 10155, 10170, 10191","left, right, right, right","9764, 9764, 9764, 9764"
E3,66,P01_109_66,move cutting board,3,"10195, 10201, 10211","10196, 10202, 10212","right, right, right","9764, 9764, 9764"
E3,67,P01_109_67,put down knife,5,"10236, 10241, 10246, 10251, 10262","10237, 10242, 10247, 10252, 10263","right, right, right, right, right","9764, 9764, 9764, 9764, 9764"
E3,68,P01_109_68,pick up knife,4,"10269, 10286, 10292, 10299","10270, 10287, 10293, 10300","right, left, right, right","9764, 9764, 9764, 9764"
E3,69,P01_109_69,slice potato,2,"11500, 11899","11501, 11900","left, right","9764, 9764"
E3,70,P01_109_70,put down knife,3,"11913, 11917, 11934","11914, 11918, 11935","left, right, left","9764, 9764, 9764"
E3,71,P01_109_71,put down potato slices,3,"11962, 11969, 11984","11963, 11970, 11985","left, left, right","9764, 9764, 9764"
E3,72,P01_109_72,pick up potato slices,2,"12054, 12070","12055, 12071","right, right","9764, 9764"
E3,73,P01_109_73,put down potato slices,5,"12069, 12096, 12124, 12153, 12185","12070, 12097, 12125, 12154, 12186","left, left, left, right, right","9764, 9764, 9764, 9764, 9764"
E3,74,P01_109_74,pick up potato slices,5,"12180, 12206, 12230, 12246, 12262","12181, 12207, 12231, 12247, 12263","right, left, left, right, right","9764, 9764, 9764, 9764, 9764"
E3,75,P01_109_75,put down potato slices,4,"12275, 12292, 12302, 12328","12276, 12293, 12303, 12329","left, left, right, right","9764, 9764, 9764, 9764"
E3,76,P01_109_76,pick up potato slice,3,"12325, 12352, 12390","12326, 12353, 12391","right, left, right","9764, 9764, 9764"
E3,77,P01_109_78,pick up potato slice,3,"12335, 12367, 12389","12336, 12368, 12390","left, left, right","9764, 9764, 9764"
E3,78,P01_109_79,put down potato slice,4,"12388, 12392, 12399, 12403","12389, 12393, 12400, 12404","right, right, right, right","9764, 9764, 9764, 9764"
E3,79,P01_109_77,put down potato slice,4,"12389, 12394, 12399, 12416","12390, 12395, 12400, 12417","right, right, right, left","9764, 9764, 9764, 9764"
E3,80,P01_109_80,pick up potato slices,5,"12415, 12426, 12437, 12444, 12454","12416, 12427, 12438, 12445, 12455","left, left, right, right, right","9764, 9764, 9764, 9764, 9764"
E3,81,P01_109_81,put down potato slices,5,"12457, 12461, 12468, 12472, 12476","12458, 12462, 12469, 12473, 12477","right, right, right, right, right","9764, 9764, 9764, 9764, 9764"
E3,82,P01_109_82,pick up potato slice,5,"12483, 12508, 12526, 12543, 12561","12484, 12509, 12527, 12544, 12562","left, right, left, right, right","9764, 9764, 9764, 9764, 9764"
E3,83,P01_109_83,put down potato slice,4,"12561, 12566, 12572, 12579","12562, 12567, 12573, 12580","left, right, left, left","9764, 9764, 9764, 9764"
E3,84,P01_109_84,pick up potato slice,4,"12634, 12645, 12662, 12666","12635, 12646, 12663, 12667","right, left, left, right","9764, 9764, 9764, 9764"
E3,85,P01_109_85,put down potato slice,4,"12669, 12674, 12679, 12683","12670, 12675, 12680, 12684","right, right, left, left","9764, 9764, 9764, 9764"
E3,86,P01_109_86,pick up potato slice,3,"12722, 12731, 12737","12723, 12732, 12738","right, left, right","9764, 9764, 9764"
