subaction_index,narration_id,narration,verb,noun,frame_0_based,hand,candidate_source,ref_idx,reference_gap,projection_source,projection_method,mask_source_contact,mask_source_reference,tracker_backend,articulated_object,final_quality_score,track_point_count,visible_point_count,affine_inlier_count,affine_inlier_ratio,affine_median_residual,projected_contact_inside_mask_count,projected_contact_to_mask_distance,object_track_confidence,local_flow_steps,local_flow_fb_error,local_flow_points,local_flow_inliers,local_flow_inlier_ratio,local_flow_weighted_residual,sample_score,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,heatmap_mode,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,mask_projection_overlay
6,P01_109_8,pick up potato,pick-up,potato,529.0,left,new_contact_episode,528.0,1.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,1.0,36,35,35,1.0,0.7200749516487122,5,0.0,0.5371707625918725,,,,,,,5.708264418117204,25,5,0.20942222222222223,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_06_P01_109_8/candidate_04_frame_000529_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_06_P01_109_8/candidate_04_frame_000529_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_06_P01_109_8/candidate_04_frame_000529_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_06_P01_109_8/candidate_04_frame_000529_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_06_P01_109_8/candidate_04_frame_000529_left/mask_projection_overlay.png
8,P01_109_7,put down potatoes,put-down,potato,645.0,left,new_contact_episode,644.0,1.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,1.0,36,36,36,1.0,0.9000449180603027,5,0.0,0.5371707625918725,,,,,,,5.799865319124857,84,5,0.14475555555555555,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left/mask_projection_overlay.png
8,P01_109_7,put down potatoes,put-down,potato,647.0,left,new_contact_episode,646.0,1.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,1.0,36,36,36,1.0,0.8777603507041931,5,0.0,0.5371707625918725,,,,,,,5.74233385614554,48,5,0.18355555555555556,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_09_frame_000647_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_09_frame_000647_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_09_frame_000647_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_09_frame_000647_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_09_frame_000647_left/mask_projection_overlay.png
8,P01_109_7,put down potatoes,put-down,potato,657.0,left,new_contact_episode,654.0,3.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,0.9888888888888889,36,36,34,0.9444444444444444,0.6567254066467285,5,0.0,0.5371707625918725,,,,,,,5.841631571133932,78,5,0.086,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_11_frame_000657_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_11_frame_000657_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_11_frame_000657_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_11_frame_000657_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_08_P01_109_7/candidate_11_frame_000657_left/mask_projection_overlay.png
9,P01_109_9,put down potato,put-down,potato,645.0,left,new_contact_episode,644.0,1.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,1.0,36,36,36,1.0,0.9000449180603027,5,0.0,0.5371707625918725,,,,,,,5.799865319124857,84,5,0.14475555555555555,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left/mask_projection_overlay.png
9,P01_109_9,put down potato,put-down,potato,647.0,left,new_contact_episode,646.0,1.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,1.0,36,36,36,1.0,0.8777603507041931,5,0.0,0.5371707625918725,,,,,,,5.74233385614554,48,5,0.18355555555555556,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_09_frame_000647_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_09_frame_000647_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_09_frame_000647_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_09_frame_000647_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_09_frame_000647_left/mask_projection_overlay.png
9,P01_109_9,put down potato,put-down,potato,657.0,left,new_contact_episode,654.0,3.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,0.9888888888888889,36,36,34,0.9444444444444444,0.6567254066467285,5,0.0,0.5371707625918725,,,,,,,5.841631571133932,78,5,0.086,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_11_frame_000657_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_11_frame_000657_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_11_frame_000657_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_11_frame_000657_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_09_P01_109_9/candidate_11_frame_000657_left/mask_projection_overlay.png
10,P01_109_10,pick up beers,pick-up,beer,776.0,left,new_contact_episode,775.0,1.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,0.9299999999999999,36,36,36,1.0,0.23869505524635315,4,0.0,0.5371707625918725,,,,,,,5.531239148342609,8,4,0.07706666666666667,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_02_frame_000776_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_02_frame_000776_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_02_frame_000776_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_02_frame_000776_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_02_frame_000776_left/mask_projection_overlay.png
10,P01_109_10,pick up beers,pick-up,beer,785.0,left,new_contact_episode,775.0,10.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,False,0.9133333333333333,36,36,33,0.9166666666666666,1.5819042921066284,4,0.0,0.5371707625918725,,,,,,,5.324309537903467,14,4,0.11048888888888889,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_06_frame_000785_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_06_frame_000785_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_06_frame_000785_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_06_frame_000785_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_10_P01_109_10/candidate_06_frame_000785_left/mask_projection_overlay.png
12,P01_109_12,open drawer,open,drawer,1070.0,left,new_contact_episode,1068.0,2.0,cotracker_weighted_affine,cotracker_weighted_affine,grabcut_fallback,bbox_fallback,fallback_lk,True,1.0,36,36,36,1.0,0.1508343517780304,5,0.0,0.4161993224435197,,,,,,,6.001974969446659,63,5,0.0,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_12_P01_109_12/candidate_00_frame_001070_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_12_P01_109_12/candidate_00_frame_001070_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_12_P01_109_12/candidate_00_frame_001070_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_12_P01_109_12/candidate_00_frame_001070_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e8/experiments/E8/pipeline_outputs/subaction_12_P01_109_12/candidate_00_frame_001070_left/mask_projection_overlay.png
