verb_class_key,noun_class_key,count,percentage
move,chair,23,0.03
take,lettuce,23,0.03
dry,cup,23,0.03
take,salami,23,0.03
rip,paper,22,0.029
fill,jug,22,0.029
filter,pasta,22,0.029
cut,bread,22,0.029
pour,tomato,22,0.029
pour,stock,22,0.029
squeeze,lemon,22,0.029
insert,jug,22,0.029
insert,leaf,22,0.029
put,juicer,22,0.029
insert,fridge,22,0.029
soak,sponge,22,0.029
put,foil,22,0.029
put,lemon,22,0.029
put,blender,22,0.029
wash,tap,22,0.029
cut,meat,22,0.029
move,lid,22,0.029
wash,rest,21,0.027
dry,plate,21,0.027
scrape,egg,21,0.027
open,milk,21,0.027
press,garlic,21,0.027
wash,cover,21,0.027
take,banana,21,0.027
squeeze,liquid:washing,21,0.027
turn-on,machine:washing,21,0.027
coat,hand,21,0.027
turn-down,hob,21,0.027
form,dough,21,0.027
take,clip,21,0.027
shake,lid,21,0.027
move,dough,21,0.027
move,colander,21,0.027
pour,mushroom,20,0.026
pour,onion,20,0.026
rip,broccoli,20,0.026
wrap,bag,20,0.026
wash,water,20,0.026
remove,tomato,20,0.026
insert,egg,20,0.026
insert,cutlery,20,0.026
filter,plate,20,0.026
feel,heat,20,0.026
turn,knob,20,0.026
wash,microwave,20,0.026
put,cap,20,0.026
wash,mushroom,20,0.026
insert,skin,20,0.026
insert,maker:coffee,20,0.026
mix,stock,20,0.026
move,paper,20,0.026
dry,spoon,20,0.026
put,sugar,20,0.026
move,cutlery,20,0.026
fold,towel,20,0.026
put,salami,20,0.026
cut,tofu,20,0.026
take,blender,20,0.026
mix,cheese,19,0.025
put,broccoli,19,0.025
insert,spatula,19,0.025
flip,burger,19,0.025
break,rice,19,0.025
close,sauce,19,0.025
pour,egg,19,0.025
unroll,cloth,19,0.025
put,bin,19,0.025
pull,dishwasher,19,0.025
pull,drawer,19,0.025
wash,kitchen,19,0.025
put,oregano,19,0.025
insert,liquid:washing,19,0.025
remove,filter,19,0.025
take,teapot,19,0.025
wash,chopstick,19,0.025
turn-on,blender,19,0.025
turn-on,toaster,19,0.025
cut,fish,19,0.025
empty,cup,19,0.025
take,squash,19,0.025
pour,squash,19,0.025
take,powder,18,0.023
cut,aubergine,18,0.023
insert,tea,18,0.023
insert,salad,18,0.023
wash,package,18,0.023
cut,bag,18,0.023
take,foil,18,0.023
wash,chicken,18,0.023
insert,chilli,18,0.023
remove,food,18,0.023
scoop,spreads,18,0.023
mix,soup,18,0.023
pour,liquid,18,0.023
scoop,mixture,18,0.023
insert,cereal,18,0.023
pour,soup,18,0.023
move,cheese,18,0.023
open,pot,18,0.023
take,onion:spring,18,0.023
insert,fish,18,0.023
put,vinegar,17,0.022
wash,potato,17,0.022
eat,bread,17,0.022
put,wrap,17,0.022
add,water,17,0.022
take,salmon,17,0.022
remove,bag,17,0.022
remove,bowl,17,0.022
mix,water,17,0.022
sprinkle,flour,17,0.022
check,meat,17,0.022
wash,courgette,17,0.022
empty,coffee,17,0.022
remove,water,17,0.022
slide,tray,17,0.022
sprinkle,cheese,17,0.022
scoop,soup,17,0.022
turn-on,fan:extractor,17,0.022
press,meat,17,0.022
open,cover,17,0.022
shake,colander,16,0.021
open,machine:washing,16,0.021
open,cheese,16,0.021
pat,egg,16,0.021
scrub,board:chopping,16,0.021
move,bin,16,0.021
move,food,16,0.021
insert,pie,16,0.021
put,pie,16,0.021
pour,meat,16,0.021
take,cream,16,0.021
mix,dough,16,0.021
insert,cupboard,16,0.021
take,opener:bottle,16,0.021
remove,pepper,16,0.021
sprinkle,salt,16,0.021
gather,skin,16,0.021
insert,hob,16,0.021
remove,garlic,16,0.021
insert,wrap,16,0.021
put,utensil,16,0.021
apply,spreads,16,0.021
divide,potato,16,0.021
use,liquid:washing,16,0.021
wash,pepper,16,0.021
cut,squash,16,0.021
apply,cheese,16,0.021
close,machine:washing,16,0.021
wash,rubbish,16,0.021
dry,board:chopping,16,0.021
cut,butter,16,0.021
take,vegetable,16,0.021
take,tablet,16,0.021
take,pancake,15,0.02
take,choi:pak,15,0.02
move,tomato,15,0.02
remove,onion,15,0.02
scrub,knife,15,0.02
close,bread,15,0.02
remove,spoon,15,0.02
wash,rice,15,0.02
remove,scale,15,0.02
crush,pepper,15,0.02
take,sandwich,15,0.02
move,jug,15,0.02
open,basket,15,0.02
move,liquid:washing,15,0.02
wash,bottle,15,0.02
hang,towel,15,0.02
remove,bread,15,0.02
open,cereal,15,0.02
take,bin,15,0.02
take,thermometer,15,0.02
close,cap,15,0.02
shake,glass,15,0.02
mix,chicken,15,0.02
insert,sausage,15,0.02
filter,glass,15,0.02
remove,knife,15,0.02
take,leek,15,0.02
put,seed,15,0.02
turn,sausage,15,0.02
mix,milk,15,0.02
dry,lid,15,0.02
mix,oatmeal,15,0.02
throw,bottle,15,0.02
take,omelette,15,0.02
take,holder,15,0.02
remove,cover,15,0.02
shake,box,15,0.02
put,shell:egg,15,0.02
take,noodle,14,0.018
pour,nut,14,0.018
check,alarm,14,0.018
feel,dough,14,0.018
put,phone,14,0.018
throw,shell:egg,14,0.018
take,vinegar,14,0.018
wash,floor,14,0.018
throw,lid,14,0.018
scrape,food,14,0.018
scrape,spatula,14,0.018
put,pancake,14,0.018
remove,wrap:plastic,14,0.018
put,pin:rolling,14,0.018
throw,water,14,0.018
throw,box,14,0.018
stab,potato,14,0.018
insert,butter,14,0.018
sharpen,tap,14,0.018
put,holder,14,0.018
put,courgette,14,0.018
empty,bottle,14,0.018
eat,rice,14,0.018
move,maker:coffee,14,0.018
move,package,14,0.018
turn-off,heat,14,0.018
move,spatula,14,0.018
wash,lettuce,14,0.018
close,milk,14,0.018
put,corn,14,0.018
scoop,sugar,13,0.017
shake,mat,13,0.017
open,stock,13,0.017
mix,flour,13,0.017
take,burger,13,0.017
turn-off,maker:coffee,13,0.017
fill,bowl,13,0.017
insert,pizza,13,0.017
throw,coffee,13,0.017
sharpen,whetstone,13,0.017
take,oregano,13,0.017
lift,plate,13,0.017
take,lentil,13,0.017
put,fishcakes,13,0.017
wash,cucumber,13,0.017
flip,wrap,13,0.017
cut,lemon,13,0.017
remove,sauce,13,0.017
throw,towel:kitchen,13,0.017
put,onion:spring,13,0.017
put,opener:bottle,13,0.017
move,kettle,13,0.017
move,courgette,13,0.017
cook,chicken,13,0.017
pour,salad,13,0.017
squeeze,water,13,0.017
move,chopstick,13,0.017
remove,meat,13,0.017
throw,onion,13,0.017
cook,egg,13,0.017
increase,heat,13,0.017
check,clothes,13,0.017
put,skin,13,0.017
wrap,pan,13,0.017
take,paste,13,0.017
wash,carrot,13,0.017
put,teapot,13,0.017
peel,dough,13,0.017
check,coffee,13,0.017
empty,colander,13,0.017
pour,cheese,13,0.017
remove,plate,12,0.016
cut,choi:pak,12,0.016
scrub,spoon,12,0.016
coat,bread,12,0.016
search,drawer,12,0.016
take,phone,12,0.016
close,salt,12,0.016
filter,container,12,0.016
cut,chocolate,12,0.016
shake,cup,12,0.016
turn,paper,12,0.016
apply,flour,12,0.016
take,juice,12,0.016
cut,onion:spring,12,0.016
scrape,tomato,12,0.016
mix,spoon,12,0.016
empty,jug,12,0.016
take,pork,12,0.016
move,potato,12,0.016
turn-down,heat,12,0.016
insert,jar,12,0.016
remove,clothes,12,0.016
put,squash,12,0.016
insert,sponge,12,0.016
scoop,coffee,12,0.016
put,powder,12,0.016
squeeze,bag,12,0.016
take,utensil,12,0.016
insert,lettuce,12,0.016
shake,jar,12,0.016
wash,blender,12,0.016
wash,leek,12,0.016
turn-off,fan:extractor,12,0.016
slide,chopstick,12,0.016
insert,oatmeal,12,0.016
wrap,pot,12,0.016
open,top,12,0.016
put,thermometer,12,0.016
scoop,egg,12,0.016
put,stock,12,0.016
fill,water,12,0.016
put,fish,12,0.016
dry,glass,12,0.016
close,basket,12,0.016
take,parsley,12,0.016
cut,leaf,12,0.016
remove,label,11,0.014
sort,dough,11,0.014
turn-on,button,11,0.014
put,salmon,11,0.014
scoop,salt,11,0.014
turn,bread,11,0.014
search,cupboard,11,0.014
move,towel,11,0.014
insert,sugar,11,0.014
pour,bowl,11,0.014
mix,garlic,11,0.014
insert,biscuit,11,0.014
move,chicken,11,0.014
put,banana,11,0.014
wash,tongs,11,0.014
scrub,pot,11,0.014
insert,ice,11,0.014
check,hand,11,0.014
wash,wall,11,0.014
crush,garlic,11,0.014
flip,sausage,11,0.014
hold,bowl,11,0.014
move,rack:drying,11,0.014
empty,filter,11,0.014
insert,shell:egg,11,0.014
turn-on,heat,11,0.014
fold,mat,11,0.014
dry,fork,11,0.014
turn,dough,11,0.014
move,can,11,0.014
move,hob,11,0.014
move,carrot,11,0.014
mix,butter,11,0.014
remove,wrap,11,0.014
take,whetstone,11,0.014
scoop,cucumber,11,0.014
turn-off,kettle,11,0.014
peel,sausage,11,0.014
put,spreads,11,0.014
pour,biscuit,11,0.014
pour,kettle,11,0.014
remove,carrot,11,0.014
wash,towel,11,0.014
dry,container,11,0.014
rub,hand,11,0.014
open,yoghurt,11,0.014
pour,lentil,11,0.014
scrape,dough,11,0.014
crush,spice,11,0.014
throw,cover,11,0.014
fill,jar,11,0.014
insert,vegetable,11,0.014
filter,water,11,0.014
wash,utensil,11,0.014
empty,pot,11,0.014
take,corn,11,0.014
scoop,stock,11,0.014
take,ice,11,0.014
take,hummus,11,0.014
remove,coffee,11,0.014
cut,bean:green,11,0.014
put,lettuce,11,0.014
shake,container,10,0.013
take,presser,10,0.013
grate,cheese,10,0.013
fold,cloth,10,0.013
remove,hand,10,0.013
mix,quorn,10,0.013
cut,coriander,10,0.013
throw,tomato,10,0.013
eat,cheese,10,0.013
coat,dough,10,0.013
shake,bag,10,0.013
mix,coconut,10,0.013
pour,vinegar,10,0.013
throw,sink,10,0.013
take,seed,10,0.013
hold,handle,10,0.013
unroll,wrap:plastic,10,0.013
move,sponge,10,0.013
insert,corn,10,0.013
put,liquid,10,0.013
apply,meat,10,0.013
wait,rice,10,0.013
open,pepper,10,0.013
pour,package,10,0.013
scrape,butter,10,0.013
insert,yoghurt,10,0.013
scoop,vegetable,10,0.013
lower,heat,10,0.013
let-go,pan,10,0.013
rub,flour,10,0.013
open,tap,10,0.013
fill,wrap,10,0.013
wash,onion,10,0.013
insert,towel:kitchen,10,0.013
lift,dough,10,0.013
turn-on,processor:food,10,0.013
sort,bowl,10,0.013
wash,mat,10,0.013
wash,clothes,10,0.013
turn,corn,10,0.013
pour,mixture,10,0.013
throw,carrot,10,0.013
wash,meat,10,0.013
put,sandwich,10,0.013
put,cake,10,0.013
move,cloth,10,0.013
dry,box,10,0.013
put,tofu,10,0.013
flip,book,10,0.013
eat,food,10,0.013
insert,spreads,10,0.013
squeeze,bottle,10,0.013
insert,stock,10,0.013
remove,plug,10,0.013
brush,oil,10,0.013
move,butter,10,0.013
take,cap,10,0.013
take,ginger,10,0.013
open,flour,10,0.013
close,squash,10,0.013
move,pepper,10,0.013
wear,apron,10,0.013
unroll,paper,10,0.013
brush,pot,10,0.013
eat,olive,9,0.012
turn-on,scale,9,0.012
wash,glove,9,0.012
wash,rack:drying,9,0.012
hold,dough,9,0.012
insert,grater,9,0.012
close,cover,9,0.012
cut,avocado,9,0.012
turn,bowl,9,0.012
wash,salad,9,0.012
move,pasta,9,0.012
insert,drawer,9,0.012
shake,bowl,9,0.012
peel,salmon,9,0.012
scoop,chilli,9,0.012
press,maker:coffee,9,0.012
uncover,pot,9,0.012
turn,mat,9,0.012
shake,cloth,9,0.012
insert,blueberry,9,0.012
remove,olive,9,0.012
take,shell:egg,9,0.012
take,avocado,9,0.012
attach,plug,9,0.012
turn-off,alarm,9,0.012
check,pan,9,0.012
close,vinegar,9,0.012
pat,bottle,9,0.012
take,plug,9,0.012
brush,flour,9,0.012
put,book,9,0.012
take,spinner:salad,9,0.012
shake,milk,9,0.012
take,floor,9,0.012
empty,glass,9,0.012
put,turmeric,9,0.012
add,sauce,9,0.012
scrape,rice,9,0.012
open,hummus,9,0.012
scoop,kiwi,9,0.012
fold,filter,9,0.012
pour,powder,9,0.012
pour,potato,9,0.012
cut,vegetable,9,0.012
turn-off,button,9,0.012
take,grape,9,0.012
scrape,knife,9,0.012
add,nut,9,0.012
scrape,garlic,9,0.012
insert,towel,9,0.012
rip,bag,9,0.012
open,squash,9,0.012
open,spice,9,0.012
lower,pan,9,0.012
divide,meat,9,0.012
remove,dough,9,0.012
throw,seed,9,0.012
put,rubbish,9,0.012
hang,cup,9,0.012
take,oatmeal,9,0.012
remove,hob,9,0.012
check,potato,9,0.012
take,chocolate,9,0.012
wash,peach,9,0.012
put,drawer,9,0.012
mix,nut,9,0.012
turn,tap,9,0.012
scoop,paste,9,0.012
cook,bacon,9,0.012
scrub,cup,9,0.012
squeeze,lime,9,0.012
remove,ice,9,0.012
pat,dough,9,0.012
open,coffee,9,0.012
wash,bin,9,0.012
unscrew,cap,9,0.012
fold,paper,9,0.012
gather,food,9,0.012
peel,banana,9,0.012
insert,rack:drying,9,0.012
cut,parsley,9,0.012
take,nut,9,0.012
fold,wrap,9,0.012
form,burger,9,0.012
remove,pasta,8,0.01
put,tuna,8,0.01
remove,container,8,0.01
wash,liquid:washing,8,0.01
dry,pot,8,0.01
apply,olive,8,0.01
put,hummus,8,0.01
insert,cover,8,0.01
look,alarm,8,0.01
put,basket,8,0.01
insert,olive,8,0.01
close,pot,8,0.01
insert,salmon,8,0.01
insert,noodle,8,0.01
mix,oil,8,0.01
scoop,biscuit,8,0.01
roll,egg,8,0.01
mix,lettuce,8,0.01
turn,pasta,8,0.01
shake,filter,8,0.01
insert,presser,8,0.01
squeeze,curry,8,0.01
insert,coriander,8,0.01
put,vegetable,8,0.01
close,spice,8,0.01
take,spinach,8,0.01
close,top,8,0.01
remove,milk,8,0.01
squeeze,burger,8,0.01
press,tofu,8,0.01
move,choi:pak,8,0.01
cook,vegetable,8,0.01
measure,powder,8,0.01
shake,rice,8,0.01
shake,spatula,8,0.01
close,pepper,8,0.01
pat,garlic,8,0.01
scrub,glass,8,0.01
cut,broccoli,8,0.01
remove,potato,8,0.01
take,lime,8,0.01
take,bacon,8,0.01
check,knife,8,0.01
increase,hob,8,0.01
filter,pan,8,0.01
open,rice,8,0.01
move,scale,8,0.01
pour,wine,8,0.01
take,blackberry,8,0.01
take,kale,8,0.01
open,olive,8,0.01
open,liquid:washing,8,0.01
scrape,onion,8,0.01
take,cake,8,0.01
flip,omelette,8,0.01
wash,whisk,8,0.01
take,raisin,8,0.01
open,egg,8,0.01
scrub,colander,8,0.01
scoop,flour,8,0.01
take,cupboard,8,0.01
cut,lime,8,0.01
put,spinner:salad,8,0.01
screw,maker:coffee,8,0.01
gather,rubbish,8,0.01
take,crisp,8,0.01
take,mango,8,0.01
take,coriander,8,0.01
take,yeast,8,0.01
pour,oatmeal,8,0.01
open,wrap,8,0.01
add,salt,8,0.01
remove,pizza,8,0.01
turn,cheese,8,0.01
eat,potato,8,0.01
open,window,8,0.01
remove,pith,8,0.01
insert,chopstick,8,0.01
wash,coffee,8,0.01
put,whetstone,8,0.01
peel,package,8,0.01
put,leek,8,0.01
put,burger,7,0.009
throw,plate,7,0.009
insert,courgette,7,0.009
open,butter,7,0.009
apply,dough,7,0.009
cut,skin,7,0.009
insert,sink,7,0.009
take,fishcakes,7,0.009
check,oven,7,0.009
take,finger:lady,7,0.009
insert,raisin,7,0.009
sort,pan,7,0.009
take,orange,7,0.009
open,filter,7,0.009
take,drink,7,0.009
add,oil,7,0.009
remove,glass,7,0.009
mix,cup,7,0.009
drop,carrot,7,0.009
