noun_class_key,noun_class,count,percentage
ginger,131,68,0.088
salmon,112,67,0.087
pie,137,67,0.087
powder,138,66,0.086
soup,126,66,0.086
vinegar,134,65,0.085
oatmeal,127,65,0.085
processor:food,147,65,0.085
omelette,162,62,0.081
kitchen,157,62,0.081
onion:spring,128,61,0.079
choi:pak,151,61,0.079
floor,159,61,0.079
shell:egg,141,60,0.078
salami,156,59,0.077
liquid,150,58,0.075
teapot,158,57,0.074
oregano,145,57,0.074
paste,148,56,0.073
plug,153,54,0.07
sandwich,164,54,0.07
thermometer,166,53,0.069
basket,168,53,0.069
tuna,160,52,0.068
holder,135,52,0.068
recipe,149,51,0.066
utensil,154,49,0.064
lime,161,49,0.064
presser,172,49,0.064
coriander,173,48,0.062
book,140,47,0.061
cream,143,47,0.061
cooker:slow,152,46,0.06
bacon,163,45,0.059
avocado,176,44,0.057
tablet,171,44,0.057
pork,144,43,0.056
noodle,155,43,0.056
blueberry,178,43,0.056
cake,175,40,0.052
hummus,181,40,0.052
bean:green,185,39,0.051
phone,165,38,0.049
pancake,184,37,0.048
parsley,169,37,0.048
whetstone,212,36,0.047
opener:bottle,174,36,0.047
fan:extractor,179,36,0.047
toaster,186,35,0.046
chocolate,188,35,0.046
juice,183,35,0.046
ice,189,33,0.043
lentil,177,31,0.04
fishcakes,197,30,0.039
knob,190,30,0.039
spinner:salad,170,29,0.038
chair,182,29,0.038
apron,199,29,0.038
yeast,195,29,0.038
handle,191,29,0.038
grape,202,28,0.036
coconut,196,28,0.036
kale,203,27,0.035
raisin,200,27,0.035
orange,167,27,0.035
drink,209,25,0.033
mango,207,25,0.033
apple,187,24,0.031
kiwi,213,23,0.03
finger:lady,216,22,0.029
cabbage,224,22,0.029
blackberry,219,21,0.027
whisk,218,21,0.027
thyme,215,21,0.027
control:remote,221,20,0.026
pea,193,20,0.026
spinach,198,19,0.025
wire,204,19,0.025
slicer,220,19,0.025
turmeric,211,19,0.025
celery,223,19,0.025
beef,217,18,0.023
breadstick,226,18,0.023
paprika,206,18,0.023
label,222,18,0.023
ladder,230,18,0.023
wine,192,18,0.023
cocktail,228,18,0.023
crisp,229,18,0.023
beer,231,17,0.022
battery,233,17,0.022
pan:dust,232,17,0.022
caper,208,16,0.021
roll,227,16,0.021
powder:washing,234,16,0.021
hoover,225,16,0.021
cutter:pizza,237,15,0.02
quorn,240,14,0.018
funnel,241,14,0.018
stalk,210,14,0.018
pear,239,14,0.018
tv,245,13,0.017
almond,244,13,0.017
backpack,235,12,0.016
wall,242,12,0.016
stand,249,12,0.016
straw,248,12,0.016
shelf,247,12,0.016
shrimp,253,11,0.014
cellar:salt,180,11,0.014
fruit,254,11,0.014
guard:hand,252,11,0.014
artichoke,255,10,0.013
pith,194,10,0.013
basil,201,10,0.013
cork,256,10,0.013
stick:crab,260,9,0.012
air,238,9,0.012
sprout,258,9,0.012
pestle,262,9,0.012
mat:sushi,259,9,0.012
cumin,236,9,0.012
cherry,257,9,0.012
ring:onion,261,9,0.012
gin,264,8,0.01
window,263,8,0.01
mint,266,8,0.01
heater,267,7,0.009
machine:sous:vide,250,7,0.009
watch,272,7,0.009
bean,214,7,0.009
grass:lemon,268,7,0.009
scotch:egg,246,7,0.009
breadcrumb,271,7,0.009
strawberry,243,7,0.009
rubber,269,7,0.009
melon,273,6,0.008
cinnamon,274,6,0.008
dumpling,276,6,0.008
asparagus,205,6,0.008
bar,265,6,0.008
rosemary,277,5,0.007
syrup,279,5,0.007
masher,251,5,0.007
candle,280,5,0.007
pineapple,281,5,0.007
raspberry,284,4,0.005
soda,283,4,0.005
power,278,4,0.005
sheets,282,4,0.005
turkey,287,3,0.004
cd,298,2,0.003
face,292,2,0.003
extract:vanilla,299,2,0.003
pen,291,2,0.003
plum,293,2,0.003
airer,285,2,0.003
camera,297,2,0.003
computer,288,2,0.003
door:kitchen,295,2,0.003
