noun,noun_class,count,percentage
avocado,176,44,0.057
filter:water,66,44,0.057
water:tap,0,44,0.057
liquid,150,44,0.057
instruction,149,43,0.056
cloth:table,17,43,0.056
paper:baking,49,42,0.055
glove:rubber,60,42,0.055
can:trash,36,42,0.055
lime,161,42,0.055
pepper:bell,37,42,0.055
grill,24,41,0.053
curd:cheese,32,41,0.053
processor:food,147,41,0.053
machine:washing,124,40,0.052
bottle:water,15,40,0.052
tomato:sun:dried,43,40,0.052
patty:tuna,139,39,0.051
skin:onion,48,39,0.051
piece:cucumber,72,39,0.051
towel:kitchen,93,39,0.051
noodle,155,39,0.051
lid:tupperware,6,39,0.051
board,18,39,0.051
teapot,158,39,0.051
bean:green,185,39,0.051
milk:soy,64,38,0.049
chorizo,86,38,0.049
tissue,88,37,0.048
parsley,169,37,0.048
ramekin,7,37,0.048
capsule,59,36,0.047
coriander,173,36,0.047
residue:food,54,36,0.047
cube:stock,95,35,0.046
vinegar,134,35,0.046
cafetiere,50,35,0.046
pot:moka,50,35,0.046
breast:chicken,57,35,0.046
tablecloth,17,35,0.046
potato:sweet,30,35,0.046
cream,143,35,0.046
container:food,21,35,0.046
top:stove,24,34,0.044
hummus,181,34,0.044
knife:mincing,4,34,0.044
herb,62,34,0.044
spoon:measuring,1,33,0.043
starter,71,33,0.043
toaster,186,33,0.043
honey,115,33,0.043
blueberry,178,33,0.043
holder:coffee,135,33,0.043
jam,115,32,0.042
bag:tea,132,32,0.042
glass:wine,10,32,0.042
box:cereal,23,32,0.042
cube:ice,189,31,0.04
jar:clip:top,40,31,0.04
piece:pitta,33,31,0.04
piece:lemon:squeezer,106,31,0.04
lid:pan,6,31,0.04
spaghetti,45,31,0.04
tomato:chopped,43,31,0.04
door:oven,46,30,0.039
sieve,39,30,0.039
can:tin,61,30,0.039
piece:carrot,41,30,0.039
yeast,195,29,0.038
strainer:sink,39,29,0.038
tea,132,29,0.038
apron,199,29,0.038
block:chopping,18,29,0.038
dish:oven,35,29,0.038
ham,156,29,0.038
grape,202,28,0.036
stone:olive,122,28,0.036
pod:coffee,59,28,0.036
piece:meat,28,28,0.036
tuna,160,28,0.036
belly:pork,144,28,0.036
finger,11,27,0.035
bun:steamed,33,27,0.035
kale,203,27,0.035
phone,165,27,0.035
chair,182,27,0.035
meat:minced,28,27,0.035
cooker:rice,152,27,0.035
holder:pot,24,27,0.035
chilli:green,69,27,0.035
aeropress,50,27,0.035
bit:food,34,27,0.035
spatula:wooden,20,27,0.035
yogurt,98,27,0.035
bag:coffee,19,27,0.035
raisin,200,26,0.034
oil:sesame,31,26,0.034
mix:meat,28,26,0.034
blender:hand,82,26,0.034
jar:sugar,40,26,0.034
side,42,25,0.033
tong,142,25,0.033
mango,207,25,0.033
knob,190,25,0.033
mould:cake,35,25,0.033
presser:garlic,172,25,0.033
clove:garlic,51,25,0.033
eggshell,141,25,0.033
dog:hot,86,25,0.033
jar:spice,40,24,0.031
corn,125,24,0.031
flame,24,24,0.031
carton:egg,26,24,0.031
bag:cereal,19,24,0.031
leaf:lettuce,62,24,0.031
grinder,50,23,0.03
blade:chopping,4,23,0.03
sock,73,23,0.03
mixture:tuna,160,23,0.03
kiwi,213,23,0.03
piece:onion,16,23,0.03
film,100,23,0.03
support,24,23,0.03
slice:butter,78,22,0.029
foil:aluminium,123,22,0.029
bread:pitta,33,22,0.029
bowl:glass,7,22,0.029
powder,138,22,0.029
bag:mozzarella,19,22,0.029
finger:lady,216,22,0.029
opener:can,174,22,0.029
apple,187,22,0.029
grater:cheese,96,22,0.029
moka,50,21,0.027
cake,175,21,0.027
whisk,218,21,0.027
piece:broccoli,101,21,0.027
blackberry,219,21,0.027
lid:pot,6,21,0.027
leaf:curry,62,21,0.027
peeling,48,21,0.027
cleaner,22,21,0.027
container:milk,21,20,0.026
temperature:water,65,20,0.026
skin:fish,119,20,0.026
packet:cheese,26,20,0.026
shell:egg,141,20,0.026
orange,167,20,0.026
fan:extractor,179,20,0.026
bag:pasta,19,20,0.026
wrap:plastic,100,20,0.026
pea,193,20,0.026
cabbage,224,19,0.025
bowl:rice:cooker,7,19,0.025
roll:paper,93,19,0.025
drawer:freezer,8,19,0.025
celery,223,19,0.025
booklet:instruction,140,19,0.025
holder:filter,50,19,0.025
liquid:dishwashing,22,19,0.025
locker,3,19,0.025
thyme,215,19,0.025
spinach,198,19,0.025
base:pizza,91,19,0.025
skin:potato,48,19,0.025
tap:water,0,19,0.025
paneer,32,19,0.025
container:salt,21,19,0.025
bowl:large,7,18,0.023
tray:oven,35,18,0.023
mitt:oven,60,18,0.023
nutella,115,18,0.023
leftover,34,18,0.023
whetstone,212,18,0.023
piece:chocolate,188,18,0.023
machine,124,18,0.023
pancake:crispy,184,18,0.023
bin:compost,36,18,0.023
drawer:fridge,8,18,0.023
paprika,206,18,0.023
ladder,230,18,0.023
floret,101,17,0.022
tub:tupperware,23,17,0.022
dustpan,232,17,0.022
cleanser,22,17,0.022
box:tea,23,17,0.022
bottle:sauce,15,17,0.022
time,111,17,0.022
bag:pine:nut,19,17,0.022
oven:microwave,90,17,0.022
finger:fish,197,17,0.022
door:cupboard,3,17,0.022
coconut,196,17,0.022
half:lemon,105,17,0.022
shaker,15,17,0.022
paper:filter,77,17,0.022
patty,139,17,0.022
beer,231,16,0.021
battery,233,16,0.021
juice,183,16,0.021
crumb,54,16,0.021
bag:packing,19,16,0.021
bagel,33,16,0.021
cover:plastic,89,16,0.021
sweetcorn,125,16,0.021
tablet,171,16,0.021
cover:food:processor,89,16,0.021
chilli:red,69,16,0.021
bag:cheese,19,16,0.021
caper,208,16,0.021
chickpea,177,16,0.021
parmesan,32,16,0.021
powder:washing,234,16,0.021
package:bread,26,16,0.021
peanut,133,16,0.021
filter:coffee,77,16,0.021
chip,30,16,0.021
hoover:hand:held,225,15,0.02
plate:pasta,2,15,0.02
remote,221,15,0.02
water:hot,27,15,0.02
shirt:t,73,15,0.02
milk:coconut,64,15,0.02
curd:lemon,115,15,0.02
paste:garlic,148,15,0.02
spade,1,15,0.02
pan:baking,35,15,0.02
slicer,220,15,0.02
slice:pizza,91,15,0.02
teabag,132,15,0.02
crisp,229,15,0.02
press:garlic,172,15,0.02
bean:coffee,59,15,0.02
cutter:pizza,237,15,0.02
vinegar:rice,134,15,0.02
bowl:food:processor,7,14,0.018
paper:foil,49,14,0.018
quorn,240,14,0.018
bottle:washing:liquid,15,14,0.018
funnel,241,14,0.018
sachet,26,14,0.018
blade,4,14,0.018
part:juicer,106,14,0.018
burger:tuna,139,14,0.018
bowl:sugar,7,14,0.018
dice:courgette,76,14,0.018
infuser:tea,39,14,0.018
scoop,1,14,0.018
piece:garlic,51,14,0.018
leaf:salad,62,14,0.018
tortellini,45,14,0.018
seal:clip:top:jar,6,14,0.018
liquid:dish:washing,22,14,0.018
slice:cheese,32,14,0.018
temperature:gas,65,14,0.018
rest:pot,109,14,0.018
juicer,106,14,0.018
liquid:cleaning,22,13,0.017
broccoli:tenderstem,101,13,0.017
strainer:tea,39,13,0.017
bit:carrot,41,13,0.017
paste:miso,148,13,0.017
box:egg,23,13,0.017
piece:salad:spinner,170,13,0.017
peel:onion,48,13,0.017
cookie,104,13,0.017
pitcher,66,13,0.017
sauce:fish,47,13,0.017
oil:chilli,31,13,0.017
oatmeal,127,13,0.017
product:cleaning,22,13,0.017
package:cookie,26,13,0.017
remover:spot,22,13,0.017
package:pasta,26,13,0.017
risotto,55,13,0.017
opener:bottle,174,13,0.017
mayonnaise,47,13,0.017
grinder:coffee,50,13,0.017
towel:paper,93,13,0.017
dressing:salad,47,12,0.016
granola,99,12,0.016
rind,48,12,0.016
surface:hob,24,12,0.016
piece:ginger,131,12,0.016
chocolate,188,12,0.016
knife:bread,4,12,0.016
cob:corn,125,12,0.016
sticker,222,12,0.016
bucket,21,12,0.016
dustbin,36,12,0.016
dust,54,12,0.016
straw,248,12,0.016
dirt,54,12,0.016
cracker,104,12,0.016
processor,147,12,0.016
package:cheese,26,12,0.016
flake:chilli,69,12,0.016
pancake,184,12,0.016
door:microwave,90,12,0.016
pan:cast:iron,5,12,0.016
ground:coffee,59,12,0.016
paella,34,12,0.016
whey,150,12,0.016
box:carrot,23,12,0.016
passata,47,12,0.016
holder:teabag,109,12,0.016
book:recipe,140,12,0.016
lentil,177,12,0.016
mesh,39,12,0.016
bowl:plate,7,12,0.016
box:meat,23,12,0.016
tahini,47,11,0.014
almond,244,11,0.014
wine,192,11,0.014
wrapper,26,11,0.014
drainer,110,11,0.014
turmeric,211,11,0.014
desk,42,11,0.014
washing,73,11,0.014
drink:almond,209,11,0.014
fruit,254,11,0.014
granule,138,11,0.014
breadstick,226,11,0.014
mocha,50,11,0.014
boxer,73,11,0.014
pear,239,11,0.014
coaster,84,11,0.014
container:rice,21,11,0.014
mix,71,11,0.014
container:stock,21,11,0.014
seed,122,11,0.014
piece:salami,156,11,0.014
bun,33,11,0.014
mixture:passata,71,11,0.014
bottle:soy:sauce,15,11,0.014
squeezer,106,11,0.014
cooker:slow,152,11,0.014
sauce:spicy:bean,47,11,0.014
powder:coconut,196,11,0.014
rack,110,11,0.014
chunk:pork:belly,144,11,0.014
corn:sweet,125,11,0.014
juicer:lime,106,11,0.014
sauce:black:bean,47,11,0.014
rack:dish,110,11,0.014
salami,156,11,0.014
sauce:pesto,47,11,0.014
bowl:dough,7,11,0.014
toothpick,228,10,0.013
bag:spaghetti,19,10,0.013
water:excess,27,10,0.013
rack:oven,110,10,0.013
floret:broccoli,101,10,0.013
door:washing:machine,124,10,0.013
pack:cheese,26,10,0.013
bottle:passata,15,10,0.013
cylinder,175,10,0.013
scourer,9,10,0.013
artichoke,255,10,0.013
powder:biscuit,104,10,0.013
book,140,10,0.013
pistachio,133,10,0.013
pit,122,10,0.013
packet:coriander,26,10,0.013
loaf:bread,33,10,0.013
squeezer:lime,106,10,0.013
leaf:spinach,62,10,0.013
bit:potato,30,10,0.013
piece:corn,125,10,0.013
bread:toast,33,10,0.013
lid:kettle,6,10,0.013
content,34,10,0.013
end:onion,16,10,0.013
brush:washing:up,103,10,0.013
sink:kitchen,63,10,0.013
bread:white,33,10,0.013
juice:fruit,183,10,0.013
cheese:parmesan,32,9,0.012
strainer:teapot,39,9,0.012
stick:crab,260,9,0.012
packet:crisp,26,9,0.012
beef,217,9,0.012
knife:paring,4,9,0.012
berry,178,9,0.012
cover:plate,89,9,0.012
powder:curry,138,9,0.012
rest:teabag,109,9,0.012
stirrer:wooden,1,9,0.012
ring:onion,261,9,0.012
bag:carrot,19,9,0.012
cilantro,173,9,0.012
wall,242,9,0.012
piece:fish,119,9,0.012
mat:sushi,259,9,0.012
tub:butter,23,9,0.012
tray:steamer,35,9,0.012
pestle,262,9,0.012
grill:hob,24,9,0.012
boiler:water,44,9,0.012
carrot:tail,41,9,0.012
toast,33,9,0.012
pith,194,9,0.012
ball:mozzarella,32,9,0.012
cob,125,9,0.012
bag:rice,19,9,0.012
pot:small,29,9,0.012
tablet:rennet,171,9,0.012
tablespoon,1,9,0.012
supplement,171,9,0.012
holder:napkin,135,9,0.012
bit:onion,16,9,0.012
bone:chicken,57,9,0.012
piece:pizza,91,9,0.012
powder:turmeric,211,8,0.01
pot:tea,158,8,0.01
fan,179,8,0.01
jug:water,66,8,0.01
packaging:pizza,26,8,0.01
grid:hob,24,8,0.01
jar:jam,40,8,0.01
jar:honey,40,8,0.01
stirrer,1,8,0.01
support:pan,24,8,0.01
stick:cocktail,228,8,0.01
steak,217,8,0.01
leaf:mint,62,8,0.01
spinner:salad,170,8,0.01
lever,191,8,0.01
handle:pan,191,8,0.01
shelf,247,8,0.01
milk:soya,64,8,0.01
timer:oven,111,8,0.01
package:mozzarella,26,8,0.01
mint,266,8,0.01
sharpener:knife,212,8,0.01
gochujang,148,8,0.01
seal,6,8,0.01
saucepan:large,5,8,0.01
gin,264,8,0.01
tray:pizza,35,8,0.01
tupperware:butter,23,8,0.01
tupperware:sugar,23,8,0.01
salad:cucumber,72,8,0.01
rusk,33,8,0.01
pack:tortilla,26,8,0.01
drink,209,8,0.01
mat:table,84,8,0.01
curd:bean,81,8,0.01
bag:bread,19,8,0.01
content:pan,5,8,0.01
bag:oregano,19,8,0.01
curd,81,8,0.01
cake:fish,197,8,0.01
cherry,257,8,0.01
box:salt,23,8,0.01
bin:bread,21,8,0.01
box:breadstick,23,8,0.01
backpack,235,8,0.01
half:eggshell,141,7,0.009
strawberry,243,7,0.009
stick:bread,226,7,0.009
powder:cocoa,138,7,0.009
spoon:slotted,1,7,0.009
dish:soap,22,7,0.009
lid:bin,6,7,0.009
slice:courgette,76,7,0.009
peeling:onion,48,7,0.009
skin:courgette,48,7,0.009
skin:carrot,48,7,0.009
skin:banana,48,7,0.009
lid:jar,6,7,0.009
recipe,149,7,0.009
box:plastic,23,7,0.009
lid:tin,6,7,0.009
meat:mince,28,7,0.009
lid:yoghurt,6,7,0.009
container:spice,21,7,0.009
scrap,19,7,0.009
sausage:quorn,86,7,0.009
cup:small,13,7,0.009
rack:cutlery,110,7,0.009
machine:sous:vide,250,7,0.009
pot:mocha,50,7,0.009
rest,109,7,0.009
orange:half,167,7,0.009
leaf:tea,62,7,0.009
topping,34,7,0.009
jar:pepper,40,7,0.009
juice:lemon,183,7,0.009
jeera,236,7,0.009
package:popcorn,26,7,0.009
package:hot:dog,26,7,0.009
trivet,24,7,0.009
package:fish:finger,26,7,0.009
wastewater,27,7,0.009
bag:sugar,19,7,0.009
edge:dough,25,7,0.009
watch,272,7,0.009
water:more,27,7,0.009
chunk:dough,25,7,0.009
wire,204,7,0.009
cheese:feta,32,7,0.009
grass:lemon,268,7,0.009
foil:kitchen,123,7,0.009
handle:saucepan,191,7,0.009
garlic:smashed,51,7,0.009
cover:blender,89,7,0.009
temperature:cooker,65,7,0.009
packaging:cheese,26,7,0.009
bundle,26,6,0.008
mould:ring:cake,35,6,0.008
heater,267,6,0.008
piece:skin,48,6,0.008
foil:transparent,100,6,0.008
peel:lemon,48,6,0.008
melon,273,6,0.008
pack:chicken,26,6,0.008
butter:peanut,115,6,0.008
pack:battery,26,6,0.008
pot:teapot,158,6,0.008
cable,204,6,0.008
onion:chopped,16,6,0.008
pan:cake,184,6,0.008
box:tomato,23,6,0.008
butter:melting,78,6,0.008
cloth:wiping,17,6,0.008
cinnamon,274,6,0.008
piece:lime,161,6,0.008
piece:food:processor,147,6,0.008
packet:cookie,26,6,0.008
packaging:salad,26,6,0.008
fork:soap,14,6,0.008
mixture:lemon:curd,71,6,0.008
griddle,24,6,0.008
brush:dish,103,6,0.008
peel:orange,48,6,0.008
cloth:cleaning,17,6,0.008
phone:mobile,165,6,0.008
peeling:carrot,48,6,0.008
package:sausage,26,6,0.008
cap:sink,39,6,0.008
piece:plastic,54,6,0.008
powder:baking,138,6,0.008
bag:salad,19,6,0.008
smoothie,209,6,0.008
spray:cleaning,22,6,0.008
window,263,6,0.008
vinegar:balsamic,134,6,0.008
label,222,6,0.008
presser,172,6,0.008
bin:recycling,36,6,0.008
bean,214,6,0.008
bag:coffee:bean,19,6,0.008
jar:pesto:sauce,40,6,0.008
knife:chef,4,6,0.008
basil,201,6,0.008
tray:plastic,35,6,0.008
tray:ice:cube,35,6,0.008
tray:cutlery,35,6,0.008
temperature:oven,65,6,0.008
band:rubber,269,6,0.008
lid:box,6,6,0.008
board:draining,18,6,0.008
lid:container,6,6,0.008
filter:sink,77,6,0.008
drawer:vegetable,8,6,0.008
reduction:balsamic,134,6,0.008
residue,54,6,0.008
roll:sausage,227,6,0.008
guard,252,6,0.008
salsa,47,6,0.008
asparagus,205,6,0.008
bottle:vinegar,15,6,0.008
dumpling,276,6,0.008
flap,3,6,0.008
bottle:vanilla:extract,15,6,0.008
bottle:tonic:water,15,6,0.008
seed:mustard,122,6,0.008
door:fridge,12,6,0.008
short:boxer,73,6,0.008
shrimp,253,6,0.008
bottle:cooking:wine,15,6,0.008
end:carrot,41,6,0.008
jar:thyme,40,5,0.007
cork,256,5,0.007
nut,133,5,0.007
ketchup,47,5,0.007
nesquik,138,5,0.007
corncob,125,5,0.007
clip:bag,129,5,0.007
mustard,47,5,0.007
muffin,175,5,0.007
clip:top:jar,40,5,0.007
leaf:bay,62,5,0.007
control:remote,221,5,0.007
mixture:cheese,32,5,0.007
masher,251,5,0.007
condiment,47,5,0.007
container:oil,21,5,0.007
dressing,47,5,0.007
pack,26,5,0.007
stopper,256,5,0.007
sheath,89,5,0.007
shell,141,5,0.007
shreddies,99,5,0.007
skin:salmon,112,5,0.007
slice:carrot,41,5,0.007
slice:peach,74,5,0.007
spoon:tea,1,5,0.007
sprout,258,5,0.007
stalk,210,5,0.007
steam,238,5,0.007
strainer:cafetiere,77,5,0.007
scraper,20,5,0.007
tabasco,47,5,0.007
temperature:milk,65,5,0.007
tin:chopped:tomato,61,5,0.007
tin:coffee:bean,61,5,0.007
tin:condensed:milk,61,5,0.007
bag:rubbish,19,5,0.007
bag:pistachio,19,5,0.007
tray:second,35,5,0.007
bag:compost,19,5,0.007
video,245,5,0.007
seed:cumin,122,5,0.007
saucepan:small,5,5,0.007
cheese:cream,32,5,0.007
paste:shrimp,148,5,0.007
pack:tea,26,5,0.007
package:parsley,26,5,0.007
package:potato,26,5,0.007
package:salad,26,5,0.007
packaging:biscuit,26,5,0.007
packet:peanut,26,5,0.007
packet:tablet,26,5,0.007
cardboard,26,5,0.007
paper:tissue,88,5,0.007
candle,280,5,0.007
peel:banana,48,5,0.007
sauce:tomato,47,5,0.007
piece:bread,33,5,0.007
piece:cutlery,58,5,0.007
piece:mushroom,56,5,0.007
piece:onion:skin,48,5,0.007
piece:paper,49,5,0.007
plate:scale,2,5,0.007
box:bread,23,5,0.007
rag:dish,17,5,0.007
rosemary,277,5,0.007
sauce:soya,47,5,0.007
cover:processor,89,5,0.007
zest:lemon,105,5,0.007
curry:fish,121,5,0.007
fraiche:creme,143,5,0.007
guard:hand,252,5,0.007
fishcakes,197,5,0.007
end:tomato,43,5,0.007
envelope,49,5,0.007
egg:scotch,246,5,0.007
scissor,79,4,0.005
shaker:pepper,180,4,0.005
paste:red:pepper,148,4,0.005
dial,190,4,0.005
packaging:meat,26,4,0.005
paste:spice,148,4,0.005
taco,107,4,0.005
tablet:dishwasher,171,4,0.005
basket:waste,36,4,0.005
leftover:food,54,4,0.005
beaker,66,4,0.005
excess:water,27,4,0.005
cooker:water,44,4,0.005
hand:my,11,4,0.005
bottle:gin,15,4,0.005
package:blueberry,26,4,0.005
flatware,2,4,0.005
tin:yeast,61,4,0.005
saucer:soap,2,4,0.005
plant:basil,201,4,0.005
mirin,192,4,0.005
part:salad:spinner,170,4,0.005
package:parmesan,26,4,0.005
tin:coffee,61,4,0.005
leaf:basil,62,4,0.005
geographic:national,140,4,0.005
part:teapot,158,4,0.005
cellar:salt,180,4,0.005
pineapple,281,4,0.005
core,122,4,0.005
temperature:pie,65,4,0.005
piece:vegetable,94,4,0.005
sheet,282,4,0.005
air,238,4,0.005
measure,1,4,0.005
squeezer:lemon,106,4,0.005
square:paper,49,4,0.005
container:pepper,21,4,0.005
slice:mozzarella,32,4,0.005
slice:pepper,37,4,0.005
piece:baking:paper,49,4,0.005
lid:plastic,6,4,0.005
piece:biscuit,104,4,0.005
fork:wooden,14,4,0.005
piece:hand:blender,82,4,0.005
brusher,103,4,0.005
breadcrumb,271,4,0.005
package:plastic,26,4,0.005
lid:teapot,6,4,0.005
blade:peeler,4,4,0.005
spade:food,1,4,0.005
slice:ham,156,4,0.005
board:cut,18,4,0.005
cloth:dish,17,4,0.005
skinner:carrot,87,4,0.005
strainer:mesh,39,4,0.005
short,73,4,0.005
burner,24,4,0.005
masala,121,4,0.005
stone,212,4,0.005
side:blade,4,4,0.005
packaging:bread,26,4,0.005
boiler,44,4,0.005
pepper:black,37,4,0.005
container:cream:cheese,21,4,0.005
board:serving,18,4,0.005
stem,210,4,0.005
steamer,152,4,0.005
bit:garlic,51,4,0.005
stand:sharpening,249,4,0.005
tomato:peeled,43,4,0.005
broom,103,4,0.005
food:cooked,34,4,0.005
garni:bouquet,62,4,0.005
wastebasket,36,4,0.005
hop,24,4,0.005
wash:hand,22,4,0.005
nozzle,50,4,0.005
remains,54,4,0.005
humus,181,4,0.005
cheese:grated,32,4,0.005
tray:bacon,35,4,0.005
box:milk,23,4,0.005
rind:lemon,48,4,0.005
poster,49,4,0.005
egg:open,53,4,0.005
jar:herb,40,4,0.005
bag:grape,19,4,0.005
edge:omelette,162,4,0.005
glove:second,60,4,0.005
rack:knife,110,4,0.005
bowl:raspberry,7,4,0.005
packet:salami,26,4,0.005
bowl:small,7,4,0.005
water:tonic,27,4,0.005
purse,19,4,0.005
pot:sauce,29,4,0.005
bowl:washing,7,4,0.005
packet:tofu,26,4,0.005
hob:induction,24,4,0.005
prawn,253,4,0.005
powder:garlic,138,4,0.005
pad:scouring,9,4,0.005
alcohol,22,4,0.005
alarm,111,4,0.005
cube:gravy,95,4,0.005
gravy,95,4,0.005
cover:dish,89,4,0.005
towel:cleaning,52,4,0.005
top:salad:spinner,170,4,0.005
pack:meat,26,4,0.005
rucksack,235,4,0.005
pack:pasta,26,4,0.005
cap:bottle,118,4,0.005
bag:onion,19,4,0.005
box:noodle,23,3,0.004
box:pizza,23,3,0.004
slice:lemon,105,3,0.004
pot:right,29,3,0.004
box:recycling,36,3,0.004
mince,28,3,0.004
bottom:leek,117,3,0.004
pot:second,29,3,0.004
cup:soap,13,3,0.004
bowl:processor,7,3,0.004
radish,68,3,0.004
bottom:sink,63,3,0.004
piece:leek,117,3,0.004
container:sauce,21,3,0.004
box:mushroom,23,3,0.004
half:bagel,33,3,0.004
mixture:egg:flour,71,3,0.004
piece:courgette,76,3,0.004
cloth:washing,17,3,0.004
potato:baby,30,3,0.004
mix:spice,85,3,0.004
piece:food,34,3,0.004
bottle:wine,15,3,0.004
filter:aeropress,77,3,0.004
plate:lasagne,2,3,0.004
power,278,3,0.004
mitten,60,3,0.004
clove,51,3,0.004
container:tofu,21,3,0.004
press,172,3,0.004
slice:toast:bread,33,3,0.004
container:sugar,21,3,0.004
mixture:whole,71,3,0.004
