verb,noun,count,percentage
pick-up,chicken,23,0.03
pick-up,pan:frying,23,0.03
open,bin:trash,23,0.03
pick-up,package,23,0.03
move,saucepan,23,0.03
take,mixture,23,0.03
take,napkin,23,0.03
cut,cucumber,23,0.03
lather,lid,23,0.03
close,bin:food,23,0.03
sweep,floor,23,0.03
put-in,mixture,23,0.03
pick-up,rest:spoon,23,0.03
take,egg,23,0.03
pick-up,sugar,23,0.03
put-on,knife,23,0.03
move,chair,23,0.03
put-on,mug,23,0.03
place,kettle,23,0.03
wash,teaspoon,23,0.03
wear,glove,23,0.03
put-on,nut:pine,23,0.03
throw-away,paper,23,0.03
pick-up,yoghurt,23,0.03
open,bottle:oil,23,0.03
debone,thigh:chicken,23,0.03
put-down,towel,23,0.03
pick-up,scale,22,0.029
pour-out,water,22,0.029
pick-up,brush:pastry,22,0.029
rinse,teaspoon,22,0.029
move,jar,22,0.029
scoop,food,22,0.029
put-down,egg,22,0.029
mix,pasta,22,0.029
put,dish,22,0.029
wash,pan:frying,22,0.029
soak,sponge,22,0.029
put-on,salt,22,0.029
pick-up,peel,22,0.029
pick-up,bottle:oil,22,0.029
take,box,22,0.029
move,meat,22,0.029
place,fork,22,0.029
hang,cloth,22,0.029
put-in,dishwasher,22,0.029
put,colander,22,0.029
cut,garlic,22,0.029
cut,dough,22,0.029
pick-up,tissue,22,0.029
put-in,glass,22,0.029
pour-into,oil,22,0.029
dry,knife,22,0.029
put-in,oil,22,0.029
put-in,coffee,21,0.027
take,cutlery,21,0.027
put,liquid:washing:up,21,0.027
close,bin:garbage,21,0.027
pick-up,mixture:tuna,21,0.027
pour,coffee,21,0.027
take,pepper,21,0.027
turn-off,oven,21,0.027
shake,spoon,21,0.027
pick-up,biscuit,21,0.027
open,packaging,21,0.027
pick-up,butter,21,0.027
stir-in,meat,21,0.027
lather,board:cutting,21,0.027
pick-up,can,21,0.027
lather,bowl,21,0.027
put-in,board:chopping,21,0.027
pick-up,saucer,21,0.027
open,package,21,0.027
tap,spoon,21,0.027
pick-up,liquid:washing,21,0.027
open,can:trash,21,0.027
move,bag,21,0.027
put-down,can,21,0.027
slice,chicken,21,0.027
slice,carrot,21,0.027
turn,chicken,21,0.027
throw,bag,21,0.027
put-down,grid,21,0.027
mix,salad,21,0.027
put,onion,21,0.027
put,cutlery,21,0.027
wash,tomato,21,0.027
put-down,box,21,0.027
pick-up,mozzarella,21,0.027
pick-up,salad,21,0.027
take,ladle,20,0.026
stir,salad,20,0.026
wash,mushroom,20,0.026
put-in,bottle,20,0.026
turn,meat,20,0.026
get,pan,20,0.026
take,bread,20,0.026
rinse,filter,20,0.026
sponge,spoon,20,0.026
pick-up,grid,20,0.026
turn,knob,20,0.026
take,scissors,20,0.026
slice,mushroom,20,0.026
pick-up,bun:bao,20,0.026
close,can:trash,20,0.026
take-off,glove,20,0.026
put-down,scale,20,0.026
take,v60,20,0.026
move-with,piece:tofu,20,0.026
drain,plate,20,0.026
throw,skin,20,0.026
throw,peel,20,0.026
put-on,pepper,20,0.026
pick-up,lid:saucepan,20,0.026
pick-up,tub,20,0.026
put-on,glass,20,0.026
turn-on,machine:coffee,19,0.025
flip-over,dough,19,0.025
test,water,19,0.025
break-up,rice,19,0.025
put,glove:oven,19,0.025
squeeze,cloth,19,0.025
put-down,tub,19,0.025
turn-down,hob,19,0.025
empty,pan,19,0.025
put-in,scissors,19,0.025
put,detergent,19,0.025
take,paper,19,0.025
place,dish,19,0.025
put-down,peeler,19,0.025
dry,mug,19,0.025
pick-up,bowl:salad,19,0.025
put-on,saucepan,19,0.025
pour-into,salt,19,0.025
apply,liquid:washing:up,19,0.025
grab,pot,19,0.025
take,sugar,19,0.025
put-down,potato,19,0.025
shake,lid,19,0.025
put-down,cereal,19,0.025
grab,glass,19,0.025
press,garlic,19,0.025
stir,coffee,19,0.025
pour,flour,19,0.025
cut,cheese,19,0.025
shape,ball:dough,19,0.025
put,box,19,0.025
pick-up,lid:tupperware,18,0.023
throw,napkin,18,0.023
clean,pot,18,0.023
put-down,rice,18,0.023
open,can,18,0.023
put-down,lid:rice:cooker,18,0.023
put-down,flour,18,0.023
close,bin:trash,18,0.023
move,cutlery,18,0.023
pick-up,roll:kitchen,18,0.023
put-down,liquid:washing,18,0.023
scour,bowl,18,0.023
put-in,clothes,18,0.023
cut,paper:greaseproof,18,0.023
grab,fork,18,0.023
adjust,flame,18,0.023
place,lid,18,0.023
put-down,glove:oven,18,0.023
put-in,saucepan,18,0.023
put,board:cutting,18,0.023
move,onion,18,0.023
put-down,silverware,18,0.023
fold,bag,18,0.023
take,chicken,18,0.023
tear,paper,18,0.023
pick-up,film:cling,18,0.023
put-down,saucer,18,0.023
put-down,filter,18,0.023
remove,stone:olive,18,0.023
adjust,gas,17,0.022
spoon,rice,17,0.022
grab,cup,17,0.022
pick-up,cucumber,17,0.022
get,towel:kitchen,17,0.022
wipe,hob,17,0.022
open,pot,17,0.022
put-down,chicken,17,0.022
put-in,milk,17,0.022
put-in,waste,17,0.022
wash,lid:saucepan,17,0.022
open,machine:coffee,17,0.022
pick-up,glove,17,0.022
rinse,sink,17,0.022
put-down,dish,17,0.022
squeeze,lemon,17,0.022
slice,potato,17,0.022
close,door:oven,17,0.022
put-in,colander,17,0.022
drain,pasta,17,0.022
turn-on,toaster,17,0.022
put-in,pot,17,0.022
pick-up,filter:water,17,0.022
dry,pan,17,0.022
dry,plate,17,0.022
pick-up,garlic,17,0.022
open,drawer:dishwasher,17,0.022
take,aubergine,17,0.022
scoop-up,soup,17,0.022
put-down,brush:pastry,17,0.022
put-in,thigh:chicken,17,0.022
take,liquid:washing:up,17,0.022
move,colander,17,0.022
lather,teaspoon,17,0.022
pick-up,peeler,17,0.022
move,lid,17,0.022
take,tupperware,17,0.022
pour-into,pasta,17,0.022
put-into,onion,17,0.022
fill,glass,17,0.022
pour,mushroom,17,0.022
put-on,cheese,17,0.022
scrub,pan,17,0.022
put-on,chopstick,17,0.022
pour-in,milk,17,0.022
put-on,kettle,17,0.022
pick-up,silverware,17,0.022
chop,mushroom,17,0.022
put-down,pizza,16,0.021
pick-up,strainer,16,0.021
open,milk,16,0.021
spread-on,oil,16,0.021
lay-down,dough,16,0.021
pick-up,cereal,16,0.021
pick-up,peach,16,0.021
pick-up,clip,16,0.021
put-in,rice,16,0.021
chop,carrot,16,0.021
use,soap,16,0.021
dry,spoon,16,0.021
cut,lettuce,16,0.021
scrape-off,egg,16,0.021
put,garlic,16,0.021
take,towel:tea,16,0.021
grab,saucepan,16,0.021
get,board:chopping,16,0.021
stir,ingredient,16,0.021
rinse,bowl:washing:up,16,0.021
squeeze,ball:dough,16,0.021
split,potato,16,0.021
roll,ball:dough,16,0.021
put-in,meat,16,0.021
put,jar,16,0.021
move,cup,16,0.021
put-into,salt,16,0.021
pour,milk,16,0.021
put-down,roll:kitchen,16,0.021
pick-up,sausage,16,0.021
wash,tupperware,16,0.021
rinse,tray:baking,16,0.021
move,tray,16,0.021
put-down,jug,16,0.021
put,tomato,16,0.021
take,garlic,16,0.021
pick-up,jug,16,0.021
put-in,tray,16,0.021
put-in,tomato,16,0.021
throw,garbage,16,0.021
move,spoon,16,0.021
pick-up,jug:measuring,16,0.021
put,tray,16,0.021
put-in,teaspoon,16,0.021
fold-over,dough,16,0.021
put-into,water,15,0.02
take,salad,15,0.02
put,salad,15,0.02
grab,container,15,0.02
drain,glass,15,0.02
set-off,timer,15,0.02
stir,stock,15,0.02
put-down,mozzarella,15,0.02
put,spoon:wooden,15,0.02
slide,tray,15,0.02
pour-in,oil,15,0.02
pick-up,peeler:potato,15,0.02
mix,ingredient,15,0.02
throw-into,bin,15,0.02
pick-up,bottle:milk,15,0.02
oil,hand,15,0.02
shake,glass,15,0.02
clean,hand,15,0.02
fill-with,mug,15,0.02
put-on,fork,15,0.02
put-down,tomato,15,0.02
turn-on,microwave,15,0.02
put-in,chilli,15,0.02
turn-in,meat,15,0.02
spread-on,butter,15,0.02
spread-onto,butter,15,0.02
knead,ball:dough,15,0.02
scrub,plate,15,0.02
pick-up,spoon:measuring,15,0.02
get,mix:meat,15,0.02
pick-up,spice,15,0.02
open,packet,15,0.02
place,bottle,15,0.02
put-into,bowl,15,0.02
wash-with,plate,15,0.02
wet,sponge,15,0.02
slice-into,courgette,15,0.02
turn,sausage,15,0.02
turn-on,cooker,15,0.02
whisk,egg,15,0.02
put-in,tomato:cherry,14,0.018
put-down,glove,14,0.018
put-down,salad,14,0.018
pick-up,piece:cucumber,14,0.018
pick-up,slice:bread,14,0.018
open,bread,14,0.018
mix,dough,14,0.018
take,water,14,0.018
put-into,garlic,14,0.018
lift,lid,14,0.018
place-on,pan,14,0.018
throw-into,trash,14,0.018
remove,leaf,14,0.018
remove,peel,14,0.018
pick-up,thermometer,14,0.018
pour-onto,liquid:washing,14,0.018
take-out,cheese,14,0.018
take-from,paper,14,0.018
rinse,jar,14,0.018
adjust,temperature:gas,14,0.018
put-down,paper:greaseproof,14,0.018
cut,fish,14,0.018
cut,banana,14,0.018
scrub,knife,14,0.018
sponge,knife,14,0.018
chop,tomato:sun:dried,14,0.018
turn-off,stove,14,0.018
pour-in,oil:olive,14,0.018
pick-up,water,14,0.018
put-of,ball:dough,14,0.018
turn-off,cooker,14,0.018
pick-up,mixture,14,0.018
put,clothes,14,0.018
scoop,yoghurt,14,0.018
put,v60,14,0.018
pick-up,chilli,14,0.018
lather,container,14,0.018
take,onion:spring,14,0.018
put-on,tray,14,0.018
pick-up,carafe,14,0.018
take,glove:oven,14,0.018
put-down,courgette,14,0.018
clean,surface,14,0.018
pick-up,olive,14,0.018
move,tupperware,14,0.018
sharpen,tap,14,0.018
take,rag,14,0.018
unfold,cloth,14,0.018
close,bag:plastic,14,0.018
place-on,ball:dough,13,0.017
put-in,cutlery,13,0.017
open,basket,13,0.017
put-on,spoon,13,0.017
sharpen,whetstone,13,0.017
move,chopstick,13,0.017
place-on,spoon:wooden,13,0.017
stir-in,onion,13,0.017
dry,saucepan,13,0.017
put-down,carrot,13,0.017
turn-on,gas,13,0.017
place,jar,13,0.017
pick-up,yogurt,13,0.017
put-down,soap,13,0.017
rinse,grater,13,0.017
stab,potato,13,0.017
place,sponge,13,0.017
open,cereal,13,0.017
adjust,cooker,13,0.017
put-down,butter,13,0.017
wash,scissors,13,0.017
take-out,pan,13,0.017
pick-up,lettuce,13,0.017
clean,sponge,13,0.017
pour,oil:olive,13,0.017
pick-up,sandwich,13,0.017
pour,rice,13,0.017
dice,onion,13,0.017
pick-up,salmon,13,0.017
stir,spaghetti,13,0.017
feel,dough,13,0.017
pick-up,wok,13,0.017
put-in,fridge,13,0.017
rinse,thigh:chicken,13,0.017
put-down,sauce,13,0.017
lather,pot,13,0.017
put-down,pin:rolling,13,0.017
open,bag:plastic,13,0.017
put-down,wok,13,0.017
pour-on,oil,13,0.017
rinse,silverware,13,0.017
wipe,knife,13,0.017
put-in,pasta,13,0.017
pick-up,tofu,13,0.017
move,tomato,13,0.017
put,box:lunch,13,0.017
rinse,ladle,13,0.017
lift,plate,13,0.017
pull-out,drawer:dishwasher,13,0.017
put-on,tray:baking,13,0.017
pick-up,pizza,13,0.017
adjust-on,temperature,13,0.017
put-on,meat,13,0.017
put-in,box,13,0.017
take,grater,13,0.017
put-down,cup:measuring,13,0.017
fry,egg,13,0.017
close,machine:coffee,13,0.017
put,oil:olive,13,0.017
spray,remover:spot,13,0.017
pick-up,trash,13,0.017
empty,saucepan,13,0.017
put,oil,13,0.017
put-into,meat,13,0.017
move,mug,13,0.017
take,oil:olive,13,0.017
cut-into,carrot,13,0.017
pick-up,lid:rice:cooker,13,0.017
get,sponge,13,0.017
place,colander,12,0.016
cut,pepper,12,0.016
cover,pot,12,0.016
move,box,12,0.016
put-down,thermometer,12,0.016
take,pasta,12,0.016
cut,piece:chocolate,12,0.016
mix,mixture,12,0.016
take,coffee,12,0.016
spoon,food,12,0.016
lather,cup,12,0.016
take,peeler,12,0.016
put-down,tongs,12,0.016
take,cup:measuring,12,0.016
mix-in,food,12,0.016
taste,rice,12,0.016
pick-up,filter,12,0.016
dry,glass,12,0.016
put-on,glove,12,0.016
remove,filter,12,0.016
throw,plastic,12,0.016
drain,container,12,0.016
move,bin,12,0.016
put-in,cucumber,12,0.016
put-in,wrap,12,0.016
pick-up,food,12,0.016
slice,tofu,12,0.016
take,pot:coffee,12,0.016
take,parsley,12,0.016
chop,potato:sweet,12,0.016
clean,spoon,12,0.016
put-on,cover,12,0.016
open,bin:compost,12,0.016
pour,stock,12,0.016
drag-through,spatula,12,0.016
grab,flour,12,0.016
switch-on,hob,12,0.016
scrape,tomato,12,0.016
take,spatula:wooden,12,0.016
slide-out,chopstick,12,0.016
sponge,pan,12,0.016
put-down,coffee,12,0.016
put,ladle,12,0.016
dip,piece:pitta,12,0.016
grab,jug,12,0.016
take,spice,12,0.016
pick-up,ramekin,12,0.016
clean,kitchen,12,0.016
take,brush,12,0.016
put-down,holder:pot,12,0.016
pour-into,flour,12,0.016
wash,leaf:pak:choi,12,0.016
pour-into,food,12,0.016
dry,lid,12,0.016
put-down,leaf:pak:choi,12,0.016
rinse,cap:burner,12,0.016
rinse,bottle,12,0.016
put-in,pepper,12,0.016
put,can,12,0.016
pick-up,leek,12,0.016
put-in,pie,12,0.016
clean,bowl,12,0.016
take,towel,12,0.016
throw,trash,12,0.016
throw,water,12,0.016
sponge,plate,12,0.016
cut,tomato:cherry,12,0.016
put-down,can:tin,12,0.016
pick-up,noodle,12,0.016
slice,meat,12,0.016
close,salt,12,0.016
close,basket,12,0.016
put-on,detergent,12,0.016
take,tray,12,0.016
place-on,pot,12,0.016
put-in,salad,12,0.016
rinse,bowl:salad,12,0.016
wash,cap:burner,12,0.016
pour,squash,12,0.016
stir,oat,12,0.016
empty,bottle,11,0.014
flip,burger:tuna,11,0.014
rub,hand,11,0.014
slice,cheese,11,0.014
put-in,spatula,11,0.014
scrub,bowl,11,0.014
shake,jar,11,0.014
get,mug,11,0.014
remove,skin:garlic,11,0.014
rinse,can,11,0.014
rinse,jug,11,0.014
shake,mat:place,11,0.014
put-in,packaging,11,0.014
soap,glass,11,0.014
dry,bowl,11,0.014
put-in,garlic,11,0.014
scrub,spoon,11,0.014
put-in,cup,11,0.014
fold,mat:place,11,0.014
remove-from,scale,11,0.014
dry-with,hand,11,0.014
remove-from,water,11,0.014
cut,paper:baking,11,0.014
fold,towel,11,0.014
put-in,lid:saucepan,11,0.014
slice,olive,11,0.014
get,garlic,11,0.014
flip,tortilla,11,0.014
cut,chicken,11,0.014
dry,fork,11,0.014
fill-up,jug,11,0.014
put-into,rice,11,0.014
dry,container,11,0.014
put-into,pot,11,0.014
flip,sausage,11,0.014
empty,pot,11,0.014
put-in,egg,11,0.014
put-in,dough,11,0.014
spoon,stock,11,0.014
put-in,sauce,11,0.014
shake,colander,11,0.014
dice,courgette,11,0.014
