verb,verb_class,count,percentage
flip-over,22,45,0.059
break,30,44,0.057
dice,7,44,0.057
mix-in,10,43,0.056
unfold,39,43,0.056
wear,68,43,0.056
turn-down,65,43,0.056
tear,43,43,0.056
crack,30,43,0.056
scrape-off,25,42,0.055
adjust-on,17,42,0.055
fill-up,26,41,0.053
wipe-with,2,40,0.052
lift-up,33,40,0.052
gather,63,39,0.051
drop,59,39,0.051
rotate,23,38,0.049
measure,69,38,0.049
scrape-into,25,37,0.048
move-in,5,36,0.047
separate,52,36,0.047
put-back,1,35,0.046
scoop-up,16,35,0.046
submerge,56,34,0.044
enter,67,34,0.044
arrange,40,34,0.044
apply,27,34,0.044
return,1,34,0.044
spoon-into,16,34,0.044
use,76,33,0.043
break-up,30,33,0.043
shake-off,15,33,0.043
fry,45,32,0.042
soak,56,32,0.042
look-for,48,32,0.042
lower,73,31,0.04
shred,30,29,0.038
search,48,29,0.038
rearrange,40,29,0.038
scoop-out,16,29,0.038
sweep,57,28,0.036
grind,49,28,0.036
start,6,28,0.036
tip-into,9,28,0.036
clean-with,2,28,0.036
slide,61,27,0.035
move-with,11,27,0.035
put-of,1,27,0.035
brush,57,27,0.035
add-to,46,27,0.035
shape,74,27,0.035
soap,2,27,0.035
wring,18,26,0.034
spread-onto,27,26,0.034
split,52,26,0.034
dip,66,26,0.034
discard,13,26,0.034
let,79,26,0.034
toss,13,26,0.034
wait-for,72,26,0.034
damp,62,25,0.033
move-into,11,25,0.033
drop-into,5,24,0.031
smell,75,24,0.031
stir-with,10,23,0.03
stack,40,23,0.03
distribute,27,23,0.03
peel-off,19,23,0.03
debone,30,23,0.03
unroll,39,22,0.029
store,1,22,0.029
slice-into,7,21,0.027
rinse-off,2,21,0.027
tap-on,32,21,0.027
lay-down,1,21,0.027
change,17,21,0.027
cut-in,7,20,0.026
move-to,11,19,0.025
get-out,12,19,0.025
fold-over,28,19,0.025
stir-fry,45,19,0.025
search-for,48,19,0.025
stab,81,19,0.025
wipe-on,2,19,0.025
tip-out,20,19,0.025
wrap,36,19,0.025
unscrew,71,18,0.023
put-to,1,18,0.023
tear-off,43,18,0.023
put-under,1,18,0.023
pull-off,0,18,0.023
unplug,12,18,0.023
cook,45,18,0.023
turn-in,23,17,0.022
move-from,11,17,0.022
tilt,33,17,0.022
squeeze-out,18,17,0.022
shovel-up,16,17,0.022
seal,36,17,0.022
set-off,53,17,0.022
scrape-out,25,17,0.022
crush,49,17,0.022
sprinkle-on,42,17,0.022
dry-with,14,16,0.021
get-from,0,16,0.021
hold-onto,34,16,0.021
oil,66,16,0.021
push-into,5,16,0.021
wet,62,16,0.021
cut-with,7,16,0.021
plug-in,64,15,0.02
whisk,10,15,0.02
squeeze-into,18,15,0.02
light,6,15,0.02
add-into,46,15,0.02
squirt,27,14,0.018
press-down,21,14,0.018
lift-off,33,14,0.018
stir-into,10,13,0.017
slide-out,61,13,0.017
spread-in,27,13,0.017
screw,78,13,0.017
grate,77,13,0.017
rinse-out,2,13,0.017
push-down,21,13,0.017
place-onto,1,13,0.017
compress,21,13,0.017
cover-with,36,12,0.016
uncover,83,12,0.016
slide-into,5,12,0.016
drag-through,25,12,0.016
pick-from,0,12,0.016
blend,10,12,0.016
flatten,87,12,0.016
wipe-down,2,12,0.016
place-into,5,12,0.016
collect,63,12,0.016
spoon-onto,16,12,0.016
turn-up,70,12,0.016
look-in,24,12,0.016
serve,82,11,0.014
brush-with,66,11,0.014
hit,32,11,0.014
drink-from,60,11,0.014
take-with,0,11,0.014
pull-down,31,11,0.014
put-with,1,11,0.014
set-down,1,11,0.014
break-into,30,11,0.014
dry-off,14,11,0.014
move-around,11,11,0.014
move-on,11,11,0.014
squash,18,11,0.014
tip,1,11,0.014
pop-out,12,11,0.014
attach,64,11,0.014
lay-out,1,10,0.013
leave,1,10,0.013
transfer-into,11,10,0.013
lay,1,10,0.013
lock,86,10,0.013
return-to,11,10,0.013
touch,54,10,0.013
straighten,40,10,0.013
increase,70,10,0.013
spoon-in,16,10,0.013
take-into,0,10,0.013
switch,88,10,0.013
choose,85,9,0.012
look,38,9,0.012
transfer-from,11,9,0.012
lick,35,9,0.012
unwrap,84,9,0.012
clear,12,9,0.012
press-onto,21,9,0.012
grind-into,49,9,0.012
pour-down,9,9,0.012
press-into,21,9,0.012
stop,80,9,0.012
top,7,9,0.012
transfer-to,11,9,0.012
move-onto,11,9,0.012
insert-into,5,9,0.012
hang-up,41,9,0.012
pat,32,9,0.012
divide,52,8,0.01
pick-out,12,8,0.01
rub-into,55,8,0.01
pour-over,9,8,0.01
trim-into,7,8,0.01
brush-onto,57,8,0.01
check-on,24,8,0.01
cut-off,7,8,0.01
ladle,16,8,0.01
drop-in,59,8,0.01
stuff-with,26,8,0.01
extract,12,8,0.01
clean-up,2,8,0.01
scoop-from,16,8,0.01
select,85,8,0.01
scratch-off,25,8,0.01
tie,36,8,0.01
sprinkle-over,42,8,0.01
hang-on,41,8,0.01
place-down,1,8,0.01
throw-out,13,8,0.01
heat,45,8,0.01
place-back,1,8,0.01
break-in,30,8,0.01
put-over,1,7,0.009
push-off,21,7,0.009
shake-out,15,7,0.009
roll-up,36,7,0.009
open-with,3,7,0.009
wait,72,7,0.009
rest-on,1,7,0.009
rip,43,7,0.009
screw-on,4,7,0.009
pat-down,32,7,0.009
release-from,59,7,0.009
lay-on,1,7,0.009
slice-with,7,7,0.009
lay-onto,1,7,0.009
straighten-out,40,7,0.009
fetch,0,7,0.009
squeeze-onto,18,7,0.009
lift-out,33,7,0.009
drain-from,37,7,0.009
hoover,2,7,0.009
slide-onto,5,7,0.009
slide-from,61,7,0.009
sprinkle-onto,42,7,0.009
unpack,84,7,0.009
dry-on,14,7,0.009
carry,89,7,0.009
unload,0,7,0.009
clean-off,2,6,0.008
distribute-in,11,6,0.008
squeeze-in,18,6,0.008
chop-off,7,6,0.008
replace,1,6,0.008
throw-onto,13,6,0.008
hit-with,32,6,0.008
squidge,18,6,0.008
open-up,3,6,0.008
apply-to,27,6,0.008
twist,78,6,0.008
turn-with,22,6,0.008
mash,49,6,0.008
scratch,55,6,0.008
smash,49,6,0.008
wipe-into,2,6,0.008
empty-into,20,6,0.008
take-up,0,5,0.007
remove-on,0,5,0.007
tap-against,32,5,0.007
return-into,1,5,0.007
place-inside,5,5,0.007
fix,64,5,0.007
get-into,1,5,0.007
pull-from,31,5,0.007
attach-onto,64,5,0.007
scrape-from,25,5,0.007
rub-on,55,5,0.007
position,1,5,0.007
beat,10,5,0.007
halve,7,5,0.007
unfurl,39,5,0.007
hit-on,32,5,0.007
remove-inside,12,5,0.007
crumple,18,5,0.007
shake-into,9,5,0.007
make,7,5,0.007
unlock,91,5,0.007
snap,30,5,0.007
hold-with,34,5,0.007
wash-up,2,5,0.007
hand,41,4,0.005
align,40,4,0.005
coil,40,4,0.005
level,25,4,0.005
twist-off,71,4,0.005
strain,37,4,0.005
fill-into,26,4,0.005
twist-on,4,4,0.005
load,5,4,0.005
lay-over,36,4,0.005
tear-out,43,4,0.005
tear-in,43,4,0.005
look-inside,48,4,0.005
set-on,53,4,0.005
examine,24,4,0.005
slide-off,61,4,0.005
sort,40,4,0.005
empty-out,20,4,0.005
catch,0,4,0.005
arrange-on,40,4,0.005
rip-off,43,4,0.005
add-in,46,4,0.005
cover-in,36,4,0.005
shut,4,4,0.005
trim,7,4,0.005
tip-over,59,4,0.005
juice,18,4,0.005
open-on,3,4,0.005
plug,64,4,0.005
remove-off,12,4,0.005
crumble,42,4,0.005
grate-on,77,4,0.005
scrape-onto,25,4,0.005
rifle-through,48,4,0.005
screw-onto,4,4,0.005
walk,67,4,0.005
hold-in,34,4,0.005
chuck-into,13,4,0.005
boil,45,4,0.005
insert-in,5,4,0.005
search-in,48,4,0.005
clip,36,4,0.005
scoop-into,16,4,0.005
whisk-in,10,4,0.005
transfer,11,4,0.005
wring-out,18,4,0.005
throw-on,13,4,0.005
flip-onto,22,4,0.005
sort-in,40,4,0.005
upturn,22,4,0.005
flip-in,22,4,0.005
reposition,1,3,0.004
zero,53,3,0.004
tip-from,9,3,0.004
wrap-with,36,3,0.004
tap-with,32,3,0.004
tighten,78,3,0.004
remove-into,12,3,0.004
shape-into,74,3,0.004
steam,45,3,0.004
take-of,0,3,0.004
turn-of,8,3,0.004
sieve,9,3,0.004
shake-in,15,3,0.004
unsheathe,12,3,0.004
season,90,3,0.004
spill,59,3,0.004
screw-in,78,3,0.004
scrape-with,25,3,0.004
scrape-up,25,3,0.004
spread-out,27,3,0.004
spread-over,27,3,0.004
recycle,13,3,0.004
scrape-on,25,3,0.004
weigh,69,3,0.004
squidge-into,18,3,0.004
step-off,67,3,0.004
step-on,67,3,0.004
stir-on,10,3,0.004
rub-over,55,3,0.004
wipe-of,2,3,0.004
stretch-out,50,3,0.004
stuff,26,3,0.004
swap,11,3,0.004
wrap-in,36,3,0.004
take-in,0,3,0.004
rinse-under,2,3,0.004
sniff,75,3,0.004
zest-into,77,3,0.004
pour-inside,9,3,0.004
crush-into,49,3,0.004
pull-through,31,3,0.004
drain-into,37,3,0.004
gather-in,63,3,0.004
measure-in,69,3,0.004
poke,32,3,0.004
crack-on,30,3,0.004
drizzle-on,9,3,0.004
drop-on,59,3,0.004
bake,93,3,0.004
create,1,3,0.004
hold-down,34,3,0.004
pose,1,3,0.004
move-off,11,3,0.004
count,24,3,0.004
press-in,21,3,0.004
clean-around,2,3,0.004
check-in,24,3,0.004
leave-in,1,3,0.004
adjust-in,17,3,0.004
read-on,38,3,0.004
prepare,92,3,0.004
grate-into,77,3,0.004
find,48,3,0.004
detach-from,25,3,0.004
end,80,3,0.004
crush-with,49,2,0.003
tip-to,20,2,0.003
lock-into,86,2,0.003
crack-into,30,2,0.003
slice-off,7,2,0.003
cut-by,7,2,0.003
crumple-up,18,2,0.003
slide-acros,61,2,0.003
shake-onto,15,2,0.003
cool,2,2,0.003
sit-on,67,2,0.003
seal-with,36,2,0.003
chop-up,7,2,0.003
pack,5,2,0.003
unfreeze,96,2,0.003
overturn,22,2,0.003
clean-from,2,2,0.003
open-into,30,2,0.003
serve-in,82,2,0.003
serve-on,82,2,0.003
move-through,11,2,0.003
collect-into,0,2,0.003
turn-to,23,2,0.003
mix-into,10,2,0.003
shake-with,15,2,0.003
compress-in,21,2,0.003
measure-into,69,2,0.003
cut-out,7,2,0.003
mark,94,2,0.003
make-into,7,2,0.003
sheathe,5,2,0.003
throw-from,13,2,0.003
julienne,7,2,0.003
jiggle,15,2,0.003
dry-in,14,2,0.003
fold-into,28,2,0.003
fold-in,10,2,0.003
flush,8,2,0.003
empty-from,20,2,0.003
flick,11,2,0.003
switch-up,70,2,0.003
switch-out,8,2,0.003
fit,5,2,0.003
finish,80,2,0.003
ensure,24,2,0.003
swirl-in,15,2,0.003
fill-from,26,2,0.003
fasten,36,2,0.003
sweep-off,57,2,0.003
sweep-into,57,2,0.003
swallow,35,2,0.003
fork,81,2,0.003
squish,18,2,0.003
draw,0,2,0.003
dispose-of,13,2,0.003
immerse,56,2,0.003
immerge,56,2,0.003
scrub-inside,29,2,0.003
hone,58,2,0.003
hold-over,34,2,0.003
throw-for,13,2,0.003
disassemble,52,2,0.003
distribute-onto,42,2,0.003
form-into,74,2,0.003
half,7,2,0.003
grate-onto,77,2,0.003
dose,1,2,0.003
get-with,0,2,0.003
get-on,0,2,0.003
drag-around,11,2,0.003
tap-off,8,2,0.003
scrunch-up,18,2,0.003
sweep-from,57,2,0.003
rotate-around,23,2,0.003
scrape-in,25,2,0.003
assemble,64,2,0.003
rummage-in,48,2,0.003
attach-to,64,2,0.003
wipe-up,2,2,0.003
waft,15,2,0.003
brush-off,57,2,0.003
browse,48,2,0.003
wipe-onto,2,2,0.003
rise,2,2,0.003
push-out,21,2,0.003
break-apart,30,2,0.003
score,7,2,0.003
walk-with,67,2,0.003
rub-with,55,2,0.003
pull-up,31,2,0.003
play,6,2,0.003
wipe-from,2,2,0.003
bend,95,2,0.003
wash-in,2,2,0.003
rinse-on,2,2,0.003
pump-onto,27,2,0.003
sample,35,2,0.003
push-in,5,2,0.003
wrap-around,36,2,0.003
roll-down,47,2,0.003
restart,6,2,0.003
put-unto,1,2,0.003
peel-back,19,2,0.003
water,62,2,0.003
apply-in,27,2,0.003
boil-with,45,2,0.003
raise,33,2,0.003
put-up,1,2,0.003
unscrew-from,71,2,0.003
rub-in,55,2,0.003
pick-off,0,2,0.003
roll-on,47,2,0.003
pierce,81,2,0.003
untwist,71,2,0.003
remove-out,12,2,0.003
place-away,1,2,0.003
wrap-up,36,2,0.003
break-off,30,2,0.003
put-from,1,2,0.003
rub-off,55,2,0.003
roll-into,47,2,0.003
salt,90,2,0.003
put-outside,1,2,0.003
bin,13,1,0.001
blow,75,1,0.001
tear-on,43,1,0.001
dish,82,1,0.001
bite,35,1,0.001
tear-from,43,1,0.001
tear-down,43,1,0.001
tessellate,40,1,0.001
blow-out,75,1,0.001
throw-down,13,1,0.001
drain-in,37,1,0.001
divide-into,52,1,0.001
tear-into,43,1,0.001
unravel,84,1,0.001
drain-on,37,1,0.001
wipe-around,2,1,0.001
add-from,46,1,0.001
add-on,27,1,0.001
sweep-up,57,1,0.001
sweeten,90,1,0.001
swirl,15,1,0.001
switch-of,8,1,0.001
end-of,80,1,0.001
wrap-over,36,1,0.001
arrange-in,40,1,0.001
switch-to,88,1,0.001
take-down,0,1,0.001
eat-on,35,1,0.001
eat-from,35,1,0.001
wipe-over,2,1,0.001
take-inside,0,1,0.001
dump-out,37,1,0.001
ball-up,74,1,0.001
take-on,0,1,0.001
take-to,0,1,0.001
begin,6,1,0.001
drizzle-into,9,1,0.001
drizzle,9,1,0.001
drape,41,1,0.001
bash-against,49,1,0.001
defoliate,19,1,0.001
water-on,6,1,0.001
collapse,21,1,0.001
turn-around,23,1,0.001
turn-away,23,1,0.001
connect,64,1,0.001
brush-into,57,1,0.001
compress-on,21,1,0.001
use-to,76,1,0.001
brush-on,57,1,0.001
combine-into,46,1,0.001
combine-from,1,1,0.001
enter-into,67,1,0.001
combine,46,1,0.001
calibrate,17,1,0.001
unzip,3,1,0.001
collect-from,0,1,0.001
close-on,4,1,0.001
cook-into,45,1,0.001
close-off,4,1,0.001
change-for,11,1,0.001
unattach,52,1,0.001
unclip,12,1,0.001
uncork,3,1,0.001
untilt,73,1,0.001
close-in,4,1,0.001
unseal,84,1,0.001
chew-on,35,1,0.001
clamp,36,1,0.001
chop-with,7,1,0.001
unroll-from,39,1,0.001
unlock-from,91,1,0.001
chop-in,7,1,0.001
walk-around,67,1,0.001
walk-into,67,1,0.001
water-off,8,1,0.001
dab,32,1,0.001
watch,24,1,0.001
throw-inside,13,1,0.001
desee,12,1,0.001
throw-off,13,1,0.001
chop-into,7,1,0.001
decide,72,1,0.001
deburr,55,1,0.001
throw-over,13,1,0.001
bring,89,1,0.001
throw-to,13,1,0.001
tidy,40,1,0.001
dab-with,32,1,0.001
tie-in,36,1,0.001
dab-in,32,1,0.001
cut-on,7,1,0.001
tun-on,6,1,0.001
tip-in,9,1,0.001
cut-from,7,1,0.001
wash-under,2,1,0.001
wash-out,2,1,0.001
toast,45,1,0.001
wash-on,2,1,0.001
crush-in,49,1,0.001
wash-off,2,1,0.001
wash-around,2,1,0.001
bring-into,89,1,0.001
crack-in,30,1,0.001
transition,67,1,0.001
trash,13,1,0.001
tuck-under,1,1,0.001
regulate,17,1,0.001
gather-from,63,1,0.001
expand,64,1,0.001
pierce-in,81,1,0.001
pat-into,32,1,0.001
scrub-down,29,1,0.001
peel-from,19,1,0.001
peel-with,19,1,0.001
screw-off,71,1,0.001
pepper-in,90,1,0.001
pet-down,1,1,0.001
pick-into,1,1,0.001
pile,40,1,0.001
scramble,10,1,0.001
place-over,1,1,0.001
place-under,1,1,0.001
place-up,1,1,0.001
place-with,1,1,0.001
scrape-down,25,1,0.001
scrape-around,25,1,0.001
scrape-against,25,1,0.001
plate-on,82,1,0.001
paste-onto,57,1,0.001
pass-to,11,1,0.001
pace,1,1,0.001
season-with,90,1,0.001
measure-out,69,1,0.001
shake-over,15,1,0.001
mix-around,10,1,0.001
shake-on,15,1,0.001
mix-so,10,1,0.001
mop-up,2,1,0.001
move-along,11,1,0.001
set-up,70,1,0.001
set-to,53,1,0.001
set-out,53,1,0.001
set-in,53,1,0.001
move-within,11,1,0.001
mushroom-onto,1,1,0.001
separate-from,52,1,0.001
open-to,3,1,0.001
see-off,38,1,0.001
see,38,1,0.001
scrap-on,25,1,0.001
plate-up,82,1,0.001
mark-on,94,1,0.001
return-from,1,1,0.001
rinse-into,2,1,0.001
rinse-in,2,1,0.001
rinse-from,2,1,0.001
put-around,1,1,0.001
rewrap,36,1,0.001
reverse,22,1,0.001
put-aside,1,1,0.001
put-between,1,1,0.001
put-for,1,1,0.001
scoop-with,16,1,0.001
retrieve,0,1,0.001
rest-onto,1,1,0.001
rest-against,1,1,0.001
reseal,36,1,0.001
realize,24,1,0.001
rearrange-in,40,1,0.001
reattach,64,1,0.001
remain-in,13,1,0.001
push-onto,21,1,0.001
push-on,21,1,0.001
rip-with,43,1,0.001
rise-up,70,1,0.001
plug-into,64,1,0.001
scoop-in,16,1,0.001
pop-into,5,1,0.001
scatter-onto,42,1,0.001
save,1,1,0.001
salt-in,90,1,0.001
rubbish-in,13,1,0.001
rub-onto,55,1,0.001
pout,1,1,0.001
rub-around,55,1,0.001
prepare-for,92,1,0.001
rotate-to,22,1,0.001
prod,32,1,0.001
roll-over,47,1,0.001
pull-on,31,1,0.001
roll-in,47,1,0.001
roll-around,47,1,0.001
sheath,5,1,0.001
marinate,66,1,0.001
submerge-in,56,1,0.001
squeeze-from,18,1,0.001
forge,58,1,0.001
squish-into,18,1,0.001
form,74,1,0.001
squidge-with,18,1,0.001
form-from,74,1,0.001
fumble-for,48,1,0.001
reconstruct,74,1,0.001
gather-into,63,1,0.001
squeeze-around,18,1,0.001
hold-along,34,1,0.001
gather-with,63,1,0.001
get-off,0,1,0.001
grab-down,0,1,0.001
sprinkle-into,42,1,0.001
grab-up,0,1,0.001
spread-with,27,1,0.001
grind-onto,49,1,0.001
spread-into,27,1,0.001
stack-in,40,1,0.001
stack-up,40,1,0.001
stand-up,67,1,0.001
stare-at,38,1,0.001
extract-from,12,1,0.001
fall-on,59,1,0.001
stretch-onto,50,1,0.001
stretch-around,50,1,0.001
filter,37,1,0.001
strain-in,37,1,0.001
strain-from,37,1,0.001
fish-out,12,1,0.001
store-in,1,1,0.001
fit-inside,5,1,0.001
flatten-out,87,1,0.001
flatten-with,87,1,0.001
flick-up,11,1,0.001
flip-through,22,1,0.001
flip-with,22,1,0.001
stem,30,1,0.001
fold-up,28,1,0.001
have,89,1,0.001
spray-on,44,1,0.001
shut-off,8,1,0.001
slice-through,7,1,0.001
lock-in,86,1,0.001
slide-inside,61,1,0.001
lock-on,86,1,0.001
slide-along,61,1,0.001
look-behind,38,1,0.001
look-through,38,1,0.001
slice-up,7,1,0.001
slice-to,7,1,0.001
slice-onto,7,1,0.001
spray-down,44,1,0.001
look-under,38,1,0.001
slice-in,7,1,0.001
slice-from,7,1,0.001
slice-along,7,1,0.001
loose,25,1,0.001
skin-from,19,1,0.001
make-in,11,1,0.001
sieve-with,9,1,0.001
slide-on,61,1,0.001
locate,48,1,0.001
line-up,40,1,0.001
lift-from,33,1,0.001
spoon-out,16,1,0.001
hold-out,34,1,0.001
ignite,6,1,0.001
split-into,52,1,0.001
spin,23,1,0.001
increase-on,70,1,0.001
spay,44,1,0.001
soften,49,1,0.001
soap-up,2,1,0.001
layer-on,1,1,0.001
soak-in,56,1,0.001
snip,7,1,0.001
leave-with,1,1,0.001
snap-in,64,1,0.001
let-out,18,1,0.001
smooth-into,66,1,0.001
lid-off,83,1,0.001
activate,6,1,0.001
