subaction_index,narration_id,narration,verb,noun,episode_id_within_subaction,episode_contact_start_frame_0_based,frame_0_based,candidate_frame_offset_from_episode_start,hand,reference_mode,ref_idx,ref_gap,reference_anchor_gap,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop,inpaint_backend,inpaint_attempted,inpaint_applied,inpaint_required,inpaint_status,inpaint_fail_reason,inpaint_fail_policy,inpaint_mask_area_ratio,inpaint_boundary_delta,inpaint_active_hand_masked,inpaint_any_hand_masked,inpaint_masked_hand_count,inpaint_reference_frame_original,inpaint_reference_frame,inpaint_mask_path,inpaint_before_after_path
25,P01_109_25,put spoon into drawer,put-into,spoon,1.0,2341.0,2341.0,0.0,right,active_hand_invisible_pre_contact,2338.0,3.0,3.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.035721628289473686,,False,True,1,,,,
27,P01_109_27,pour hand wash,pour,wash:hand,1.0,2468.0,2468.0,0.0,right,active_hand_invisible_pre_contact,2462.0,6.0,6.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.03833436129385965,,False,True,1,,,,
28,P01_109_28,wash hands,wash,hand,1.0,2484.0,2484.0,0.0,right,active_hand_invisible_pre_contact,2462.0,22.0,22.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.03833436129385965,,False,True,1,,,,
29,P01_109_29,turn on tap,turn-on,tap,1.0,2550.0,2550.0,0.0,right,active_hand_invisible_pre_contact,2508.0,42.0,42.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.05449904057017544,,False,True,1,,,,
30,P01_109_30,rinse hands,rinse,hand,1.0,2708.0,2708.0,0.0,left,active_hand_invisible_pre_contact,2697.0,11.0,11.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.0405359100877193,,False,True,1,,,,
31,P01_109_31,turn off tap,turn-off,tap,1.0,2968.0,2968.0,0.0,left,active_hand_invisible_pre_contact,2941.0,27.0,27.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.05819969846491228,,False,True,1,,,,
32,P01_109_32,shake hands,shake,hand,1.0,3009.0,3009.0,0.0,left,active_hand_invisible_pre_contact,2941.0,68.0,68.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.05819969846491228,,False,True,1,,,,
33,P01_109_33,pick up cloth,pick-up,cloth,1.0,3088.0,3088.0,0.0,left,active_hand_invisible_pre_contact,3086.0,2.0,2.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.0,,False,False,0,,,,
35,P01_109_35,put down cloth,put-down,cloth,1.0,3356.0,3356.0,0.0,left,active_hand_invisible_pre_contact,3354.0,2.0,2.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.04415090460526316,,False,True,1,,,,
47,P01_109_47,close cupboard,close,cupboard,1.0,4648.0,4648.0,0.0,left,active_hand_invisible_pre_contact,4636.0,12.0,12.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.0,,False,False,0,,,,
48,P01_109_48,put down cutting board,put-down,board:cutting,1.0,4692.0,4692.0,0.0,left,active_hand_invisible_pre_contact,4636.0,56.0,56.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.0,,False,False,0,,,,
50,P01_109_50,put down eggs,put-down,egg,1.0,4821.0,4821.0,0.0,right,active_hand_invisible_pre_contact,4659.0,162.0,162.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.031112938596491228,,False,True,1,,,,
53,P01_109_53,pick up peeler,pick-up,peeler,1.0,4947.0,4947.0,0.0,right,active_hand_invisible_pre_contact,4937.0,10.0,10.0,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/reference_frame.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/label_heatmap_merged_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/vrb_style_affordance.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/diagnostics/problem3_ref_full_overlay.png,outputs/e19_e18_hand_inpaint_reference/experiments/E19/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/diagnostics/problem3_ref_crop.png,opencv_telea,False,False,False,not_required,,keep_original,0.0,,False,False,0,,,,
