sample_key,rel_sample_dir,status,backend_final,final_policy,qc_passed_final,path_final,path_mask,hand_box_count,box_sources,inpaint_rounds,mask_area_ratio,skin_ratio_after_final,residual_skin_after_final,boundary_delta_final,sdedit_sharpness_ratio_final,overlap_heatmap_top,overlap_crop150,inpaint_on_label_region
subaction_17_P01_109_17__episode_01_left__frame_001422_left,subaction_17_P01_109_17/episode_01_left/frame_001422_left,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_17_P01_109_17/episode_01_left/frame_001422_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_17_P01_109_17/episode_01_left/frame_001422_left/reference_hand_mask.png,4,"{""primary"": 1, ""dino"": 1, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",2,0.5027754934210527,0.8716570967005567,,0.9543511580547219,0.6972996755491768,1.0,0.9263555555555556,True
subaction_18_P01_109_18__episode_01_right__frame_001496_right,subaction_18_P01_109_18/episode_01_right/frame_001496_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/reference_hand_mask.png,2,"{""primary"": 1, ""dino"": 0, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.04291735197368421,0.2848554913294798,,0.9724555728157563,0.8456913179231783,0.0,0.10333333333333333,False
subaction_20_P01_109_20__episode_01_left__frame_001827_left,subaction_20_P01_109_20/episode_01_left/frame_001827_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.22119140625,0.9306122448979591,,0.9223891023356023,0.6716557462823649,1.0,0.5279555555555555,True
subaction_21_P01_109_21__episode_01_left__frame_002088_left,subaction_21_P01_109_21/episode_01_left/frame_002088_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.16241776315789475,0.6556370458809483,,0.9116778946559314,0.5768698452983613,0.9902824858757062,0.5132,True
subaction_22_P01_109_22__episode_01_right__frame_002142_right,subaction_22_P01_109_22/episode_01_right/frame_002142_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 1, ""neighbor"": 0, ""mediapipe"": 0}",1,0.3519137198464912,0.5631772643631159,,1.0070788748845427,0.7044244774791996,1.0,0.7674666666666666,True
subaction_23_P01_109_23__episode_01_right__frame_002214_right,subaction_23_P01_109_23/episode_01_right/frame_002214_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_23_P01_109_23/episode_01_right/frame_002214_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_23_P01_109_23/episode_01_right/frame_002214_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.14977384868421054,0.9348433136829041,,0.9709707003909832,0.6565697002619288,0.9885114885114885,0.4908888888888889,True
subaction_24_P01_109_24__episode_01_left__frame_002325_left,subaction_24_P01_109_24/episode_01_left/frame_002325_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/reference_hand_mask.png,5,"{""primary"": 0, ""dino"": 2, ""low"": 1, ""neighbor"": 2, ""mediapipe"": 0}",1,0.1108227110745614,0.8942258119951881,,0.9562291103460067,0.6389025156189354,0.0,0.17275555555555555,False
subaction_25_P01_109_25__episode_01_right__frame_002341_right,subaction_25_P01_109_25/episode_01_right/frame_002341_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/reference_hand_mask.png,5,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 2, ""mediapipe"": 0}",1,0.10170812774122807,0.8832292167227295,,0.9695731210795671,0.7051233864872063,0.922979797979798,0.24244444444444443,True
subaction_27_P01_109_27__episode_01_right__frame_002468_right,subaction_27_P01_109_27/episode_01_right/frame_002468_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.19969846491228072,0.9805798435342844,,0.9712570507469737,0.6621385162204798,0.896032831737346,0.3834222222222222,True
subaction_28_P01_109_28__episode_01_right__frame_002484_right,subaction_28_P01_109_28/episode_01_right/frame_002484_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.19969846491228072,0.9805798435342844,,0.9712570507469737,0.7021541677541918,1.0,0.4749333333333333,True
subaction_29_P01_109_29__episode_01_right__frame_002550_right,subaction_29_P01_109_29/episode_01_right/frame_002550_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 2, ""low"": 0, ""neighbor"": 0, ""mediapipe"": 0}",1,0.09375,0.7355457075131403,,0.9561434629575631,0.7515089633101003,0.0,0.08817777777777777,False
subaction_30_P01_109_30__episode_01_left__frame_002708_left,subaction_30_P01_109_30/episode_01_left/frame_002708_left,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/reference_hand_mask.png,5,"{""primary"": 1, ""dino"": 2, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",1,0.13686437774122806,0.9336043360433605,,1.17628238145189,0.6230214931314111,0.0,0.23715555555555556,False
subaction_31_P01_109_31__episode_01_left__frame_002968_left,subaction_31_P01_109_31/episode_01_left/frame_002968_left,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/reference_hand_mask.png,7,"{""primary"": 1, ""dino"": 5, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.17380242598684212,0.8236617907088892,,1.199052780250824,0.47361621905097595,0.565359477124183,0.32995555555555556,True
subaction_32_P01_109_32__episode_01_left__frame_003009_left,subaction_32_P01_109_32/episode_01_left/frame_003009_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/reference_hand_mask.png,7,"{""primary"": 1, ""dino"": 5, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.17380242598684212,0.7857257675614853,,0.9498097724843554,0.715746142684567,0.696923076923077,0.6701333333333334,True
subaction_33_P01_109_33__episode_01_left__frame_003088_left,subaction_33_P01_109_33/episode_01_left/frame_003088_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/reference_hand_mask.png,2,"{""primary"": 0, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",2,0.09228515625,0.8098419768798388,,0.941477181447414,0.5641661026717305,1.0,0.47555555555555556,True
subaction_34_P01_109_34__episode_01_left__frame_003122_left,subaction_34_P01_109_34/episode_01_left/frame_003122_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_34_P01_109_34/episode_01_left/frame_003122_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_34_P01_109_34/episode_01_left/frame_003122_left/reference_hand_mask.png,4,"{""primary"": 0, ""dino"": 3, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.1078930235745614,0.8659587431456175,,0.9550873927961142,0.6158295661852906,1.0,0.43555555555555553,True
subaction_35_P01_109_35__episode_01_left__frame_003356_left,subaction_35_P01_109_35/episode_01_left/frame_003356_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/reference_hand_mask.png,4,"{""primary"": 1, ""dino"": 1, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",1,0.07390179550438597,0.7541027710519236,,1.006735306990773,0.7508263502443849,0.8430769230769231,0.30746666666666667,True
subaction_47_P01_109_47__episode_01_left__frame_004648_left,subaction_47_P01_109_47/episode_01_left/frame_004648_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/reference_hand_mask.png,2,"{""primary"": 0, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.0332116913377193,0.7323985680190931,,1.005465855420387,0.66539211487775,0.0,0.09035555555555555,False
subaction_48_P01_109_48__episode_01_left__frame_004692_left,subaction_48_P01_109_48/episode_01_left/frame_004692_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/reference_hand_mask.png,2,"{""primary"": 0, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.0332116913377193,0.7323985680190931,,1.005465855420387,0.8312589400609249,0.0,0.0,False
subaction_50_P01_109_50__episode_01_right__frame_004821_right,subaction_50_P01_109_50/episode_01_right/frame_004821_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/reference_hand_mask.png,4,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",1,0.06760553728070176,0.8121265121702376,,0.9561945191474948,0.8711143813870053,0.0,0.0,False
subaction_53_P01_109_53__episode_01_right__frame_004947_right,subaction_53_P01_109_53/episode_01_right/frame_004947_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/reference_hand_mask.png,2,"{""primary"": 0, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.05046429550438596,0.8074245939675174,,0.9901221152195685,0.5581475916043134,0.0,0.012088888888888889,False
subaction_55_P01_109_55__episode_01_left__frame_005019_left,subaction_55_P01_109_55/episode_01_left/frame_005019_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/reference_hand_mask.png,6,"{""primary"": 2, ""dino"": 2, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",1,0.17777720668859648,0.8184451701253556,,1.001297984036564,0.6802845320326294,0.0,0.15813333333333332,False
subaction_56_P01_109_56__episode_01_left__frame_005062_left,subaction_56_P01_109_56/episode_01_left/frame_005062_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/reference_hand_mask.png,6,"{""primary"": 2, ""dino"": 2, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",1,0.17777720668859648,0.8184451701253556,,1.001297984036564,0.6304298408799794,0.0,0.09524444444444445,False
subaction_58_P01_109_58__episode_01_right__frame_007132_right,subaction_58_P01_109_58/episode_01_right/frame_007132_right,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/reference_hand_mask.png,6,"{""primary"": 2, ""dino"": 2, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",1,0.34021210252192985,0.6923920192940145,,1.2377938039250989,0.7529640973071671,0.9571428571428572,0.5603111111111111,True
subaction_64_P01_109_64__episode_01_left__frame_010144_left,subaction_64_P01_109_64/episode_01_left/frame_010144_left,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/reference_hand_mask.png,5,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",1,0.20355331688596492,0.8125887580741216,,1.094558067513402,0.7465871628537626,0.6904761904761905,0.3327555555555556,True
subaction_66_P01_109_66__episode_01_left__frame_010197_left,subaction_66_P01_109_66/episode_01_left/frame_010197_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/reference_hand_mask.png,5,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",2,0.4527052494517544,0.933096786911098,,0.9105879949957872,0.6722923479238607,1.0,0.8290666666666666,True
subaction_67_P01_109_67__episode_01_right__frame_010261_right,subaction_67_P01_109_67/episode_01_right/frame_010261_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.3656541255482456,0.8988226546040402,,0.9693504923326486,0.7102122404760106,0.7234782608695652,0.5216888888888889,True
subaction_68_P01_109_68__episode_01_right__frame_010269_right,subaction_68_P01_109_68/episode_01_right/frame_010269_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_68_P01_109_68/episode_01_right/frame_010269_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_68_P01_109_68/episode_01_right/frame_010269_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.3656541255482456,0.8988226546040402,,0.9693504923326486,0.6087825236893597,0.7568542568542569,0.6097777777777778,True
subaction_69_P01_109_69__episode_01_left__frame_010374_left,subaction_69_P01_109_69/episode_01_left/frame_010374_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_69_P01_109_69/episode_01_left/frame_010374_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_69_P01_109_69/episode_01_left/frame_010374_left/reference_hand_mask.png,6,"{""primary"": 2, ""dino"": 2, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",2,0.4576822916666667,0.9217471498930597,,0.889457331357566,0.6848094803967915,1.0,0.9948888888888889,True
subaction_71_P01_109_71__episode_01_right__frame_011977_right,subaction_71_P01_109_71/episode_01_right/frame_011977_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_71_P01_109_71/episode_01_right/frame_011977_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_71_P01_109_71/episode_01_right/frame_011977_right/reference_hand_mask.png,5,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 2, ""mediapipe"": 0}",2,0.36310135690789475,0.7984088157537124,,0.8268239202392693,0.7142772469338518,1.0,0.7544888888888889,True
subaction_73_P01_109_73__episode_01_right__frame_012104_right,subaction_73_P01_109_73/episode_01_right/frame_012104_right,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_73_P01_109_73/episode_01_right/frame_012104_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_73_P01_109_73/episode_01_right/frame_012104_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.20206277412280702,0.7228036353621592,,1.160913580598424,0.7093561369879073,0.0,0.34946666666666665,False
subaction_75_P01_109_75__episode_01_right__frame_012295_right,subaction_75_P01_109_75/episode_01_right/frame_012295_right,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_75_P01_109_75/episode_01_right/frame_012295_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_75_P01_109_75/episode_01_right/frame_012295_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.20206277412280702,0.72041678141926,,1.1764250248647725,0.5944127403590279,1.0,0.6694666666666667,True
subaction_76_P01_109_76__episode_01_right__frame_012325_right,subaction_76_P01_109_76/episode_01_right/frame_012325_right,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_76_P01_109_76/episode_01_right/frame_012325_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_76_P01_109_76/episode_01_right/frame_012325_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.20206277412280702,0.9122372165610942,,1.0455509043529692,0.7632881181456578,0.0,0.054622222222222225,False
