experiment_id,subaction_index,narration_id,narration,verb,noun,all_nouns,start_frame_0_based,stop_frame_0_based,raw_candidate_count,episode_filtered_candidate_count,deep_run_candidate_count,episode_decision,episode_id,episode_reason,episode_object_key,episode_prev_subaction_index,episode_no_contact_streak,episode_no_hand_streak
E0,92,P01_109_92,pick up potato,pick-up,potato,['potato'],13095,13120,1,1,1,,,,,,,
E0,93,P01_109_93,pick up peeler,pick-up,peeler,['peeler'],13125,13154,1,1,1,,,,,,,
E0,94,P01_109_94,peel potato,peel,potato,['potato'],13151,15460,1,1,1,,,,,,,
E0,95,P01_109_95,put down potato,put-down,potato,['potato'],15462,15502,1,1,1,,,,,,,
E0,96,P01_109_96,pick up peeler blade,pick-up,blade:peeler,['blade:peeler'],15507,15574,1,1,1,,,,,,,
E0,97,P01_109_97,fix peeler blade,fix,blade:peeler,['blade:peeler'],15573,15771,1,1,1,,,,,,,
E0,98,P01_109_98,pick up potato,pick-up,potato,['potato'],15771,15798,1,1,1,,,,,,,
E0,99,P01_109_99,peel potato,peel,potato,['potato'],15882,16102,1,1,1,,,,,,,
E1,0,P01_109_0,grab rucksack,grab,rucksack,['rucksack'],78,125,1,1,1,,,,,,,
E1,1,P01_109_1,open rucksack,open,rucksack,['rucksack'],152,225,1,1,1,,,,,,,
E1,2,P01_109_2,pick up eggs,pick-up,egg,['egg'],251,318,1,1,1,,,,,,,
E1,3,P01_109_3,put down eggs,put-down,egg,['egg'],318,373,1,1,1,,,,,,,
E1,4,P01_109_4,pick up onion and potato,pick-up,onion,"['onion', 'potato']",423,474,1,1,1,,,,,,,
E1,5,P01_109_5,put down onion and potato,put-down,onion,"['onion', 'potato']",479,522,1,1,1,,,,,,,
E1,6,P01_109_8,pick up potato,pick-up,potato,['potato'],499,621,1,1,1,,,,,,,
E1,7,P01_109_6,pick up potatoes,pick-up,potato,['potato'],542,578,1,1,1,,,,,,,
E1,8,P01_109_7,put down potatoes,put-down,potato,['potato'],549,733,1,1,1,,,,,,,
E1,9,P01_109_9,put down potato,put-down,potato,['potato'],624,751,1,1,1,,,,,,,
E1,10,P01_109_10,pick up beers,pick-up,beer,['beer'],737,844,1,1,1,,,,,,,
E1,11,P01_109_11,open freezer,open,freezer,['freezer'],875,1021,1,1,1,,,,,,,
E1,12,P01_109_12,open drawer,open,drawer,['drawer'],1044,1122,1,1,1,,,,,,,
E1,13,P01_109_13,put beer into drawer,put-into,beer,"['beer', 'drawer']",1138,1352,1,1,1,,,,,,,
E1,14,P01_109_14,put beer into drawer,put-into,beer,"['beer', 'drawer']",1229,1282,1,1,1,,,,,,,
E1,15,P01_109_15,put beer into drawer,put-into,beer,"['beer', 'drawer']",1297,1334,1,1,1,,,,,,,
E1,16,P01_109_16,close drawer,close,drawer,['drawer'],1344,1400,1,1,1,,,,,,,
E1,17,P01_109_17,close freezer,close,freezer,['freezer'],1418,1463,1,1,1,,,,,,,
E1,18,P01_109_18,pick up rucksack,pick-up,rucksack,['rucksack'],1484,1526,1,1,1,,,,,,,
E1,19,P01_109_19,put down rucksack,put-down,rucksack,['rucksack'],1656,1697,1,1,1,,,,,,,
E1,20,P01_109_20,close door,close,door,['door'],1811,1945,1,1,1,,,,,,,
E1,21,P01_109_21,pick up cup,pick-up,cup,['cup'],2083,2119,1,1,1,,,,,,,
E1,22,P01_109_22,put down cup,put-down,cup,['cup'],2131,2192,1,1,1,,,,,,,
E1,23,P01_109_23,pick up spoon,pick-up,spoon,['spoon'],2205,2235,1,1,1,,,,,,,
E1,24,P01_109_24,open drawer,open,drawer,['drawer'],2268,2331,1,1,1,,,,,,,
E1,25,P01_109_25,put spoon into drawer,put-into,spoon,"['spoon', 'drawer']",2335,2377,1,1,1,,,,,,,
E1,26,P01_109_26,close drawer,close,drawer,['drawer'],2376,2409,0,0,0,,,,,,,
E1,27,P01_109_27,pour hand wash,pour,wash:hand,['wash:hand'],2465,2504,1,1,1,,,,,,,
E1,28,P01_109_28,wash hands,wash,hand,['hand'],2477,2539,1,1,1,,,,,,,
E1,29,P01_109_29,turn on tap,turn-on,tap,['tap'],2544,2574,1,1,1,,,,,,,
E1,30,P01_109_30,rinse hands,rinse,hand,['hand'],2578,2962,1,1,1,,,,,,,
E1,31,P01_109_31,turn off tap,turn-off,tap,['tap'],2966,2988,1,1,1,,,,,,,
E1,32,P01_109_32,shake hands,shake,hand,['hand'],3000,3071,1,1,1,,,,,,,
E1,33,P01_109_33,pick up cloth,pick-up,cloth,['cloth'],3083,3139,1,1,1,,,,,,,
E1,34,P01_109_34,dry hands,dry,hand,['hand'],3093,3348,1,1,1,,,,,,,
E1,35,P01_109_35,put down cloth,put-down,cloth,['cloth'],3348,3371,1,1,1,,,,,,,
E1,36,P01_109_36,pick up potatoes,pick-up,potato,['potato'],3373,3495,1,1,1,,,,,,,
E1,37,P01_109_37,put down potatoes,put-down,potato,['potato'],3516,3551,1,1,1,,,,,,,
E1,38,P01_109_38,move potatoes,move,potato,['potato'],3639,3705,1,1,1,,,,,,,
E1,39,P01_109_39,open cupboard,open,cupboard,['cupboard'],3718,3798,1,1,1,,,,,,,
E1,40,P01_109_40,move pans,move,pan,['pan'],3825,4047,1,1,1,,,,,,,
E1,41,P01_109_41,pick up pan,pick-up,pan,['pan'],4037,4097,1,1,1,,,,,,,
E1,42,P01_109_42,put down pan,put-down,pan,['pan'],4208,4279,1,1,1,,,,,,,
E1,43,P01_109_44,put down pan,put-down,pan,['pan'],4268,4352,1,1,1,,,,,,,
E1,44,P01_109_43,pick up pan,pick-up,pan,['pan'],4329,4385,1,1,1,,,,,,,
E1,45,P01_109_45,put down pan,put-down,pan,['pan'],4378,4431,1,1,1,,,,,,,
E1,46,P01_109_46,pick up cutting board,pick-up,board:cutting,['board:cutting'],4509,4603,1,1,1,,,,,,,
E1,47,P01_109_47,close cupboard,close,cupboard,['cupboard'],4620,4663,1,1,1,,,,,,,
E1,48,P01_109_48,put down cutting board,put-down,board:cutting,['board:cutting'],4676,4723,1,1,1,,,,,,,
E1,49,P01_109_49,pick up eggs,pick-up,egg,['egg'],4763,4796,1,1,1,,,,,,,
E1,50,P01_109_50,put down eggs,put-down,egg,['egg'],4793,4826,1,1,1,,,,,,,
E1,51,P01_109_51,move kettle,move,kettle,['kettle'],4831,4866,1,1,1,,,,,,,
E1,52,P01_109_52,open drawer,open,drawer,['drawer'],4903,4941,1,1,1,,,,,,,
E1,53,P01_109_53,pick up peeler,pick-up,peeler,['peeler'],4937,4980,1,1,1,,,,,,,
E1,54,P01_109_54,close drawer,close,drawer,['drawer'],4976,5003,1,1,1,,,,,,,
E1,55,P01_109_55,move cutting board,move,board:cutting,['board:cutting'],5013,5048,1,1,1,,,,,,,
E1,56,P01_109_56,pick up potato,pick-up,potato,['potato'],5052,5121,1,1,1,,,,,,,
E1,57,P01_109_57,move potato,move,potato,['potato'],5081,5093,1,1,1,,,,,,,
E1,58,P01_109_58,peel potato,peel,potato,['potato'],5181,9528,1,1,1,,,,,,,
E1,59,P01_109_59,put down potato,put-down,potato,['potato'],9493,9581,1,1,1,,,,,,,
E1,60,P01_109_60,put down peeler,put-down,peeler,['peeler'],9585,9606,1,1,1,,,,,,,
E1,61,P01_109_61,pick up knife,pick-up,knife,['knife'],9667,9761,1,1,1,,,,,,,
E1,62,P01_109_62,grab potato,grab,potato,['potato'],9804,9834,1,1,1,,,,,,,
E1,63,P01_109_63,cut potato,cut,potato,['potato'],9830,10124,1,1,1,,,,,,,
E1,64,P01_109_64,pick up potato bit,pick-up,bit:potato,['bit:potato'],10118,10182,1,1,1,,,,,,,
E1,65,P01_109_65,put down potato bit,put-down,bit:potato,['bit:potato'],10147,10190,1,1,1,,,,,,,
E1,66,P01_109_66,move cutting board,move,board:cutting,['board:cutting'],10195,10231,1,1,1,,,,,,,
E1,67,P01_109_67,put down knife,put-down,knife,['knife'],10236,10266,1,1,1,,,,,,,
E1,68,P01_109_68,pick up knife,pick-up,knife,['knife'],10263,10299,1,1,1,,,,,,,
E1,69,P01_109_69,slice potato,slice,potato,['potato'],10296,11899,1,1,1,,,,,,,
E1,70,P01_109_70,put down knife,put-down,knife,['knife'],11913,11934,1,1,1,,,,,,,
E1,71,P01_109_71,put down potato slices,put-down,slice:potato,['slice:potato'],11962,11993,1,1,1,,,,,,,
E1,72,P01_109_72,pick up potato slices,pick-up,slice:potato,['slice:potato'],12006,12070,1,1,1,,,,,,,
E1,73,P01_109_73,put down potato slices,put-down,slice:potato,['slice:potato'],12069,12185,1,1,1,,,,,,,
E1,74,P01_109_74,pick up potato slices,pick-up,slice:potato,['slice:potato'],12180,12262,1,1,1,,,,,,,
E1,75,P01_109_75,put down potato slices,put-down,slice:potato,['slice:potato'],12266,12331,1,1,1,,,,,,,
E1,76,P01_109_76,pick up potato slice,pick-up,slice:potato,['slice:potato'],12324,12390,1,1,1,,,,,,,
E1,77,P01_109_78,pick up potato slice,pick-up,slice:potato,['slice:potato'],12335,12389,1,1,1,,,,,,,
E1,78,P01_109_79,put down potato slice,put-down,slice:potato,['slice:potato'],12388,12410,1,1,1,,,,,,,
E1,79,P01_109_77,put down potato slice,put-down,slice:potato,['slice:potato'],12389,12416,1,1,1,,,,,,,
E1,80,P01_109_80,pick up potato slices,pick-up,slice:potato,['slice:potato'],12415,12454,1,1,1,,,,,,,
E1,81,P01_109_81,put down potato slices,put-down,slice:potato,['slice:potato'],12457,12479,1,1,1,,,,,,,
E1,82,P01_109_82,pick up potato slice,pick-up,slice:potato,['slice:potato'],12483,12561,1,1,1,,,,,,,
E1,83,P01_109_83,put down potato slice,put-down,slice:potato,['slice:potato'],12561,12584,1,1,1,,,,,,,
E1,84,P01_109_84,pick up potato slice,pick-up,slice:potato,['slice:potato'],12633,12666,1,1,1,,,,,,,
E1,85,P01_109_85,put down potato slice,put-down,slice:potato,['slice:potato'],12669,12691,1,1,1,,,,,,,
E1,86,P01_109_86,pick up potato slice,pick-up,slice:potato,['slice:potato'],12722,12752,1,1,1,,,,,,,
E1,87,P01_109_87,put down potato slice,put-down,slice:potato,['slice:potato'],12757,12785,1,1,1,,,,,,,
E1,88,P01_109_88,pick up knife,pick-up,knife,['knife'],12875,12925,1,1,1,,,,,,,
E1,89,P01_109_89,cut potato slice,cut,slice:potato,['slice:potato'],12914,13035,1,1,1,,,,,,,
E1,90,P01_109_90,put down knife,put-down,knife,['knife'],13024,13054,1,1,1,,,,,,,
E1,91,P01_109_91,put down potato slice,put-down,slice:potato,['slice:potato'],13064,13089,1,1,1,,,,,,,
E1,92,P01_109_92,pick up potato,pick-up,potato,['potato'],13095,13120,1,1,1,,,,,,,
E1,93,P01_109_93,pick up peeler,pick-up,peeler,['peeler'],13125,13154,1,1,1,,,,,,,
E1,94,P01_109_94,peel potato,peel,potato,['potato'],13151,15460,1,1,1,,,,,,,
E1,95,P01_109_95,put down potato,put-down,potato,['potato'],15462,15502,1,1,1,,,,,,,
E1,96,P01_109_96,pick up peeler blade,pick-up,blade:peeler,['blade:peeler'],15507,15574,1,1,1,,,,,,,
E1,97,P01_109_97,fix peeler blade,fix,blade:peeler,['blade:peeler'],15573,15771,1,1,1,,,,,,,
E1,98,P01_109_98,pick up potato,pick-up,potato,['potato'],15771,15798,1,1,1,,,,,,,
E1,99,P01_109_99,peel potato,peel,potato,['potato'],15882,16102,1,1,1,,,,,,,
E2,0,P01_109_0,grab rucksack,grab,rucksack,['rucksack'],78,125,48,48,5,,,,,,,
E2,1,P01_109_1,open rucksack,open,rucksack,['rucksack'],152,225,97,97,5,,,,,,,
E2,2,P01_109_2,pick up eggs,pick-up,egg,['egg'],251,318,133,133,5,,,,,,,
E2,3,P01_109_3,put down eggs,put-down,egg,['egg'],318,373,36,36,5,,,,,,,
E2,4,P01_109_4,pick up onion and potato,pick-up,onion,"['onion', 'potato']",423,474,104,104,5,,,,,,,
E2,5,P01_109_5,put down onion and potato,put-down,onion,"['onion', 'potato']",479,522,31,31,5,,,,,,,
E2,6,P01_109_8,pick up potato,pick-up,potato,['potato'],499,621,140,140,5,,,,,,,
E2,7,P01_109_6,pick up potatoes,pick-up,potato,['potato'],542,578,74,74,5,,,,,,,
E2,8,P01_109_7,put down potatoes,put-down,potato,['potato'],549,733,190,190,5,,,,,,,
E2,9,P01_109_9,put down potato,put-down,potato,['potato'],624,751,136,136,5,,,,,,,
E2,10,P01_109_10,pick up beers,pick-up,beer,['beer'],737,844,174,174,5,,,,,,,
E2,11,P01_109_11,open freezer,open,freezer,['freezer'],875,1021,141,141,5,,,,,,,
E2,12,P01_109_12,open drawer,open,drawer,['drawer'],1044,1122,132,132,5,,,,,,,
E2,13,P01_109_13,put beer into drawer,put-into,beer,"['beer', 'drawer']",1138,1352,278,278,5,,,,,,,
E2,14,P01_109_14,put beer into drawer,put-into,beer,"['beer', 'drawer']",1229,1282,71,71,5,,,,,,,
E2,15,P01_109_15,put beer into drawer,put-into,beer,"['beer', 'drawer']",1297,1334,67,67,5,,,,,,,
E2,16,P01_109_16,close drawer,close,drawer,['drawer'],1344,1400,60,60,5,,,,,,,
E2,17,P01_109_17,close freezer,close,freezer,['freezer'],1418,1463,35,35,5,,,,,,,
E2,18,P01_109_18,pick up rucksack,pick-up,rucksack,['rucksack'],1484,1526,36,36,5,,,,,,,
E2,19,P01_109_19,put down rucksack,put-down,rucksack,['rucksack'],1656,1697,27,27,5,,,,,,,
E2,20,P01_109_20,close door,close,door,['door'],1811,1945,33,33,5,,,,,,,
E2,21,P01_109_21,pick up cup,pick-up,cup,['cup'],2083,2119,6,6,5,,,,,,,
E2,22,P01_109_22,put down cup,put-down,cup,['cup'],2131,2192,25,25,5,,,,,,,
E2,23,P01_109_23,pick up spoon,pick-up,spoon,['spoon'],2205,2235,11,11,5,,,,,,,
E2,24,P01_109_24,open drawer,open,drawer,['drawer'],2268,2331,47,47,5,,,,,,,
E2,25,P01_109_25,put spoon into drawer,put-into,spoon,"['spoon', 'drawer']",2335,2377,29,29,5,,,,,,,
E2,26,P01_109_26,close drawer,close,drawer,['drawer'],2376,2409,0,0,0,,,,,,,
E2,27,P01_109_27,pour hand wash,pour,wash:hand,['wash:hand'],2465,2504,10,10,5,,,,,,,
E2,28,P01_109_28,wash hands,wash,hand,['hand'],2477,2539,8,8,5,,,,,,,
E2,29,P01_109_29,turn on tap,turn-on,tap,['tap'],2544,2574,38,38,5,,,,,,,
E2,30,P01_109_30,rinse hands,rinse,hand,['hand'],2578,2962,164,164,5,,,,,,,
E2,31,P01_109_31,turn off tap,turn-off,tap,['tap'],2966,2988,10,10,5,,,,,,,
E2,32,P01_109_32,shake hands,shake,hand,['hand'],3000,3071,24,24,5,,,,,,,
E2,33,P01_109_33,pick up cloth,pick-up,cloth,['cloth'],3083,3139,26,26,5,,,,,,,
E2,34,P01_109_34,dry hands,dry,hand,['hand'],3093,3348,112,112,5,,,,,,,
E2,35,P01_109_35,put down cloth,put-down,cloth,['cloth'],3348,3371,35,35,5,,,,,,,
E2,36,P01_109_36,pick up potatoes,pick-up,potato,['potato'],3373,3495,214,214,5,,,,,,,
E2,37,P01_109_37,put down potatoes,put-down,potato,['potato'],3516,3551,56,56,5,,,,,,,
E2,38,P01_109_38,move potatoes,move,potato,['potato'],3639,3705,42,42,5,,,,,,,
E2,39,P01_109_39,open cupboard,open,cupboard,['cupboard'],3718,3798,55,55,5,,,,,,,
E2,40,P01_109_40,move pans,move,pan,['pan'],3825,4047,301,301,5,,,,,,,
E2,41,P01_109_41,pick up pan,pick-up,pan,['pan'],4037,4097,122,122,5,,,,,,,
E2,42,P01_109_42,put down pan,put-down,pan,['pan'],4208,4279,107,107,5,,,,,,,
E2,43,P01_109_44,put down pan,put-down,pan,['pan'],4268,4352,142,142,5,,,,,,,
E2,44,P01_109_43,pick up pan,pick-up,pan,['pan'],4329,4385,36,36,5,,,,,,,
E2,45,P01_109_45,put down pan,put-down,pan,['pan'],4378,4431,56,56,5,,,,,,,
E2,46,P01_109_46,pick up cutting board,pick-up,board:cutting,['board:cutting'],4509,4603,70,70,5,,,,,,,
E2,47,P01_109_47,close cupboard,close,cupboard,['cupboard'],4620,4663,26,26,5,,,,,,,
E2,48,P01_109_48,put down cutting board,put-down,board:cutting,['board:cutting'],4676,4723,53,53,5,,,,,,,
E2,49,P01_109_49,pick up eggs,pick-up,egg,['egg'],4763,4796,68,68,5,,,,,,,
E2,50,P01_109_50,put down eggs,put-down,egg,['egg'],4793,4826,54,54,5,,,,,,,
E2,51,P01_109_51,move kettle,move,kettle,['kettle'],4831,4866,35,35,5,,,,,,,
E2,52,P01_109_52,open drawer,open,drawer,['drawer'],4903,4941,13,13,5,,,,,,,
E2,53,P01_109_53,pick up peeler,pick-up,peeler,['peeler'],4937,4980,47,47,5,,,,,,,
E2,54,P01_109_54,close drawer,close,drawer,['drawer'],4976,5003,31,31,5,,,,,,,
E2,55,P01_109_55,move cutting board,move,board:cutting,['board:cutting'],5013,5048,54,54,5,,,,,,,
E2,56,P01_109_56,pick up potato,pick-up,potato,['potato'],5052,5121,112,112,5,,,,,,,
E2,57,P01_109_57,move potato,move,potato,['potato'],5081,5093,24,24,5,,,,,,,
E2,58,P01_109_58,peel potato,peel,potato,['potato'],5181,9528,8679,8679,5,,,,,,,
E2,59,P01_109_59,put down potato,put-down,potato,['potato'],9493,9581,178,178,5,,,,,,,
E2,60,P01_109_60,put down peeler,put-down,peeler,['peeler'],9585,9606,31,31,5,,,,,,,
E2,61,P01_109_61,pick up knife,pick-up,knife,['knife'],9667,9761,3,3,3,,,,,,,
E2,62,P01_109_62,grab potato,grab,potato,['potato'],9804,9834,62,62,5,,,,,,,
E2,63,P01_109_63,cut potato,cut,potato,['potato'],9830,10124,590,590,5,,,,,,,
E2,64,P01_109_64,pick up potato bit,pick-up,bit:potato,['bit:potato'],10118,10182,95,95,5,,,,,,,
E2,65,P01_109_65,put down potato bit,put-down,bit:potato,['bit:potato'],10147,10190,59,59,5,,,,,,,
E2,66,P01_109_66,move cutting board,move,board:cutting,['board:cutting'],10195,10231,41,41,5,,,,,,,
