subaction_index,narration_id,narration,verb,noun,episode_id_within_subaction,episode_contact_start_frame_0_based,frame_0_based,candidate_frame_offset_from_episode_start,hand,reference_mode,ref_idx,reference_offset,ref_gap,reference_anchor_gap,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop
27,P01_109_27,pour hand wash,pour,wash:hand,1.0,2468.0,2468.0,0.0,right,near_contact_pre_frame,2463.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/diagnostics/problem3_ref_crop.png
28,P01_109_28,wash hands,wash,hand,1.0,2484.0,2484.0,0.0,right,near_contact_pre_frame,2479.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/diagnostics/problem3_ref_crop.png
29,P01_109_29,turn on tap,turn-on,tap,1.0,2550.0,2550.0,0.0,right,near_contact_pre_frame,2545.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/diagnostics/problem3_ref_crop.png
30,P01_109_30,rinse hands,rinse,hand,1.0,2708.0,2708.0,0.0,left,near_contact_pre_frame,2703.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/diagnostics/problem3_ref_crop.png
31,P01_109_31,turn off tap,turn-off,tap,1.0,2968.0,2968.0,0.0,left,near_contact_pre_frame,2963.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_31_P01_109_31/episode_01_left/frame_002968_left/diagnostics/problem3_ref_crop.png
32,P01_109_32,shake hands,shake,hand,1.0,3009.0,3009.0,0.0,left,near_contact_pre_frame,3004.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_32_P01_109_32/episode_01_left/frame_003009_left/diagnostics/problem3_ref_crop.png
33,P01_109_33,pick up cloth,pick-up,cloth,1.0,3088.0,3088.0,0.0,left,near_contact_pre_frame,3083.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_33_P01_109_33/episode_01_left/frame_003088_left/diagnostics/problem3_ref_crop.png
35,P01_109_35,put down cloth,put-down,cloth,1.0,3356.0,3356.0,0.0,left,near_contact_pre_frame,3351.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/diagnostics/problem3_ref_crop.png
37,P01_109_37,put down potatoes,put-down,potato,1.0,3549.0,3549.0,0.0,left,near_contact_pre_frame,3544.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_37_P01_109_37/episode_01_left/frame_003549_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_37_P01_109_37/episode_01_left/frame_003549_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_37_P01_109_37/episode_01_left/frame_003549_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_37_P01_109_37/episode_01_left/frame_003549_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_37_P01_109_37/episode_01_left/frame_003549_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_37_P01_109_37/episode_01_left/frame_003549_left/diagnostics/problem3_ref_crop.png
38,P01_109_38,move potatoes,move,potato,1.0,3654.0,3654.0,0.0,left,near_contact_pre_frame,3649.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_38_P01_109_38/episode_01_left/frame_003654_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_38_P01_109_38/episode_01_left/frame_003654_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_38_P01_109_38/episode_01_left/frame_003654_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_38_P01_109_38/episode_01_left/frame_003654_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_38_P01_109_38/episode_01_left/frame_003654_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_38_P01_109_38/episode_01_left/frame_003654_left/diagnostics/problem3_ref_crop.png
47,P01_109_47,close cupboard,close,cupboard,1.0,4648.0,4648.0,0.0,left,near_contact_pre_frame,4643.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/diagnostics/problem3_ref_crop.png
48,P01_109_48,put down cutting board,put-down,board:cutting,1.0,4692.0,4692.0,0.0,left,near_contact_pre_frame,4687.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/diagnostics/problem3_ref_crop.png
50,P01_109_50,put down eggs,put-down,egg,1.0,4821.0,4821.0,0.0,right,near_contact_pre_frame,4816.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_50_P01_109_50/episode_01_right/frame_004821_right/diagnostics/problem3_ref_crop.png
53,P01_109_53,pick up peeler,pick-up,peeler,1.0,4947.0,4947.0,0.0,right,near_contact_pre_frame,4942.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_53_P01_109_53/episode_01_right/frame_004947_right/diagnostics/problem3_ref_crop.png
55,P01_109_55,move cutting board,move,board:cutting,1.0,5019.0,5019.0,0.0,left,near_contact_pre_frame,5014.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_55_P01_109_55/episode_01_left/frame_005019_left/diagnostics/problem3_ref_crop.png
56,P01_109_56,pick up potato,pick-up,potato,1.0,5062.0,5062.0,0.0,left,near_contact_pre_frame,5057.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_56_P01_109_56/episode_01_left/frame_005062_left/diagnostics/problem3_ref_crop.png
58,P01_109_58,peel potato,peel,potato,1.0,7132.0,7132.0,0.0,right,near_contact_pre_frame,7127.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_58_P01_109_58/episode_01_right/frame_007132_right/diagnostics/problem3_ref_crop.png
64,P01_109_64,pick up potato bit,pick-up,bit:potato,1.0,10144.0,10144.0,0.0,left,near_contact_pre_frame,10139.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_64_P01_109_64/episode_01_left/frame_010144_left/diagnostics/problem3_ref_crop.png
66,P01_109_66,move cutting board,move,board:cutting,1.0,10197.0,10197.0,0.0,left,near_contact_pre_frame,10192.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_66_P01_109_66/episode_01_left/frame_010197_left/diagnostics/problem3_ref_crop.png
67,P01_109_67,put down knife,put-down,knife,1.0,10261.0,10261.0,0.0,right,near_contact_pre_frame,10256.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_67_P01_109_67/episode_01_right/frame_010261_right/diagnostics/problem3_ref_crop.png
